"","Player","Span","Mat","Runs","HS","Bat Av","100","Wkts","BBI","Bowl Av","5","Ct","St","Ave Diff",""
"502","NS Poonia (SCOT)","2007-2010","8","95","38*","19.00","0","-","-","-","-","2","0","-",""
"503","Qadeer Ahmed (UAE)","2015-2016","8","7","5*","7.00","0","6","2/25","30.83","0","2","0","-23.83",""
"504","Raees Ahmadzai (AFG)","2010-2010","8","91","33*","30.33","0","-","-","-","-","2","0","-",""
"505","Rameez Shahzad (UAE)","2016-2017","8","196","49","32.66","0","-","-","-","-","3","0","-",""
"506","JRMVB Sanjaya (SL)","2017-2017","8","20","6","6.66","0","9","2/20","27.77","0","1","0","-21.11",""
"507","MM Sharma (INDIA)","2014-2015","8","3","3*","-","0","6","2/28","30.83","0","1","0","-",""
"508","CJO Smith (SCOT)","2007-2009","8","58","46*","11.60","0","-","-","-","-","5","4","-",""
"509","AO Suji (KENYA)","2007-2010","8","15","7","5.00","0","4","2/23","29.00","0","3","0","-23.99",""
"510","Syed Rasel (BDESH)","2007-2008","8","7","6","3.50","0","4","1/10","50.50","0","1","0","-46.99",""
"511","GJ Thompson (IRE)","2016-2017","8","75","44","12.50","0","-","-","-","-","1","0","-",""
"512","DT Tiripano (ZIM)","2016-2016","8","15","11*","7.50","0","10","3/20","21.80","0","2","0","-14.29",""
"513","ML Udawatte (SL)","2008-2017","8","96","25","12.00","0","-","-","-","-","0","0","-",""
"514","LV van Beek (NL)","2014-2016","8","7","4*","2.33","0","5","3/9","32.00","0","3","0","-29.66",""
"515","JJ van der Wath (SA)","2006-2007","8","46","21","15.33","0","8","2/31","28.87","0","0","0","-13.54",""
"516","MN van Wyk (SA)","2007-2015","8","225","114*","37.50","1","-","-","-","-","5","1","-",""
"517","JNT Vare (PNG)","2015-2017","8","68","38","9.71","0","-","-","-","-","4","2","-",""
"518","Waqas Khan (HKG)","2014-2017","8","68","33*","17.00","0","0","-","-","0","0","0","-",""
"519","CR Woakes (ENG)","2011-2015","8","91","37","30.33","0","7","2/40","36.14","0","1","0","-5.80",""
"520","Aftab Alam (AFG)","2012-2016","7","1","1*","-","0","7","2/23","28.42","0","0","0","-",""
"521","PS Airee (NEPAL)","2015-2015","7","59","29","8.42","0","-","-","-","-","1","0","-",""
"522","Alok Kapali (BDESH)","2007-2011","7","57","19","11.40","0","2","2/12","17.50","0","2","0","-6.09",""
"523","U Bhatti (CAN)","2008-2010","7","49","12","12.25","0","8","3/23","18.50","0","0","0","-6.24",""
"524","CJ Boyce (AUS)","2014-2016","7","4","3","4.00","0","8","2/10","19.00","0","0","0","-14.99",""
"525","DR Briggs (ENG)","2012-2014","7","0","0*","-","0","5","2/25","39.80","0","1","0","-",""
"526","TC Bruce (NZ)","2017-2017","7","136","59*","27.20","0","-","-","-","-","4","0","-",""
"527","NM Carter (SCOT)","2013-2013","7","4","3","2.00","0","6","2/27","28.00","0","1","0","-25.99",""
"528","PP Chawla (INDIA)","2010-2012","7","0","0","0.00","0","4","2/13","37.75","0","2","0","-37.74",""
"529","TS Chisoro (ZIM)","2015-2016","7","17","10","17.00","0","10","3/17","17.30","0","0","0","-0.29",""
"530","BCJ Cutting (AUS/World)","2013-2017","7","40","29","10.00","0","3","1/18","71.66","0","5","0","-61.66",""
"531","DM de Silva (SL)","2015-2017","7","167","62","23.85","0","1","1/3","23.00","0","2","0","0.85",""
"532","Elias Sunny (BDESH)","2012-2012","7","9","5","4.50","0","9","5/13","16.22","1","4","0","-11.72",""
"533","Fareed Ahmad (AFG)","2016-2017","7","-","-","-","-","11","3/35","17.54","0","1","0","-",""
"534","A Flintoff (ENG)","2005-2007","7","76","31","12.66","0","5","2/23","32.20","0","5","0","-19.53",""
"535","JR Hazlewood (AUS)","2013-2016","7","-","-","-","-","8","4/30","33.62","0","1","0","-",""
"536","BE Hendricks (SA)","2014-2017","7","15","12*","15.00","0","8","2/31","27.37","0","2","0","-12.37",""
"537","BW Hilfenhaus (AUS)","2007-2012","7","2","2","1.00","0","9","2/15","17.88","0","0","0","-16.88",""
"538","Imran Farhat (PAK)","2010-2011","7","76","19","10.85","0","-","-","-","-","3","0","-",""
"539","Junaid Siddique (BDESH)","2007-2012","7","159","71","22.71","0","-","-","-","-","1","0","-",""
"540","S Randiv (SL)","2010-2011","7","8","6","4.00","0","7","3/20","19.85","0","0","0","-15.85",""
"541","IA Karim (KENYA)","2013-2013","7","47","15","6.71","0","-","-","-","-","3","0","-",""
"542","HG Kuhn (SA)","2009-2017","7","49","29","12.25","0","-","-","-","-","5","0","-",""
"543","SW Masakadza (ZIM)","2010-2013","7","18","9","4.50","0","4","2/39","52.75","0","2","0","-48.24",""
"544","WP Masakadza (ZIM)","2015-2016","7","22","6*","11.00","0","8","4/28","24.62","0","0","0","-13.62",""
"545","Mohammad Nawaz (3) (PAK)","2016-2017","7","-","-","-","-","4","1/16","36.75","0","3","0","-",""
"546","Mohammed Shami (INDIA)","2014-2017","7","-","-","-","-","8","3/38","31.25","0","0","0","-",""
"547","RS Morton (WI)","2006-2010","7","96","40","16.00","0","-","-","-","-","2","0","-",""
"548","M Mosehle (SA)","2017-2017","7","105","36","21.00","0","-","-","-","-","6","2","-",""
"549","Nazimuddin (BDESH)","2007-2008","7","178","81","25.42","0","-","-","-","-","0","0","-",""
"550","JO Ngoche (KENYA)","2012-2013","7","4","2","2.00","0","4","2/31","35.00","0","0","0","-32.99",""
"551","SNJ O'Keefe (AUS)","2010-2011","7","32","22","6.40","0","6","3/29","24.83","0","1","0","-18.43",""
"552","VD Philander (SA)","2007-2007","7","14","6","3.50","0","4","2/23","28.50","0","1","0","-24.99",""
"553","R Powell (WI)","2017-2017","7","35","28","11.66","0","1","1/20","20.00","0","4","0","-8.33",""
"554","AJ Redmond (NZ)","2009-2010","7","126","63","21.00","0","2","2/24","12.00","0","3","0","9.00",""
"555","HD Rutherford (NZ)","2013-2013","7","151","62","25.16","0","-","-","-","-","1","0","-",""
"556","AM Samad (CAN)","2008-2010","7","97","29","16.16","0","1","1/36","36.00","0","1","0","-19.83",""
"557","E Schiferli (NL)","2008-2010","7","7","5*","3.50","0","6","3/23","24.33","0","5","0","-20.83",""
"558","IJL Trott (ENG)","2007-2010","7","138","51","23.00","0","-","-","-","-","0","0","-",""
"559","AJ Tye (AUS)","2016-2017","7","4","4","2.00","0","6","3/37","38.00","0","0","0","-35.99",""
"560","Usman Limbada (CAN)","2010-2013","7","53","21*","53.00","0","-","-","-","-","1","0","-",""
"561","JDF Vandersay (SL)","2015-2016","7","15","8*","15.00","0","4","2/26","44.25","0","1","0","-29.24",""
"562","AC Voges (AUS)","2007-2013","7","139","51","46.33","0","2","2/5","2.50","0","3","0","43.83",""
"563","Zulfiqar Babar (PAK)","2013-2014","7","27","13*","-","0","12","3/23","15.41","0","1","0","-",""
"564","CJA Amini (PNG)","2015-2016","6","90","37*","22.50","0","5","2/13","12.60","0","2","0","9.90",""
"565","CD Barnwell (WI)","2011-2013","6","78","34*","19.50","0","1","1/24","51.00","0","2","0","-31.49",""
"566","S Bau (PNG)","2016-2017","6","116","30","23.20","0","0","-","-","0","3","0","-",""
"567","TL Best (WI)","2013-2014","6","17","17*","-","0","6","3/18","25.66","0","0","0","-",""
"568","JAR Blain (SCOT)","2007-2008","6","4","3*","2.00","0","6","2/23","18.00","0","1","0","-15.99",""
"569","SS Cottrell (WI)","2014-2015","6","0","0","0.00","0","8","3/28","22.87","0","1","0","-22.87",""
"570","A Dananjaya (SL)","2012-2017","6","0","0*","-","0","7","2/9","17.57","0","1","0","-",""
"571","M de Lange (SA)","2012-2015","6","-","-","-","-","7","2/26","32.57","0","1","0","-",""
"572","Fahad Tariq (UAE)","2016-2016","6","19","16","4.75","0","0","-","-","0","4","0","-",""
"573","Faizan Asif (UAE)","2014-2015","6","80","28","13.33","0","-","-","-","-","0","0","-",""
"574","WT Gavera (PNG)","2015-2017","6","3","2","1.50","0","5","3/17","22.60","0","1","0","-21.09",""
"575","MJ Henry (NZ)","2014-2017","6","10","10","10.00","0","7","3/44","27.28","0","1","0","-17.28",""
"576","MM Iqbal (SCOT)","2012-2013","6","46","31","15.33","0","2","2/15","29.50","0","3","0","-14.16",""
"577","RK Kleinveldt (SA)","2008-2013","6","25","22","25.00","0","9","3/18","19.22","0","1","0","5.77",""
"578","NR Kumar (CAN)","2012-2013","6","97","38","16.16","0","-","-","-","-","0","0","-",""
"579","CJ McKay (AUS)","2010-2013","6","19","7","9.50","0","4","2/24","45.75","0","0","0","-36.24",""
"580","RP Magar (NEPAL)","2014-2015","6","52","25","8.66","0","-","-","-","-","0","0","-",""
"581","XM Marshall (WI)","2008-2009","6","96","36","16.00","0","-","-","-","-","3","0","-",""
"582","CS Martin (NZ)","2007-2008","6","5","5*","-","0","7","2/14","27.57","0","1","0","-",""
"583","Mohammad Nadeem (OMAN)","2015-2017","6","21","7","5.25","0","4","2/24","31.75","0","3","0","-26.49",""
"584","Mominul Haque (BDESH)","2012-2014","6","60","26*","20.00","0","0","-","-","0","1","0","-",""
"585","Mosaddek Hossain (BDESH)","2016-2017","6","99","34*","19.80","0","2","1/22","37.50","0","3","0","-17.69",""
"586","Mukhtar Ahmed (PAK)","2015-2015","6","192","83","32.00","0","-","-","-","-","2","0","-",""
"587","PP Ojha (INDIA)","2009-2010","6","10","10*","-","0","10","4/21","13.20","0","1","0","-",""
"588","AT Rayudu (INDIA)","2014-2016","6","42","20","10.50","0","-","-","-","-","4","0","-",""
"589","DJ Reekers (NL)","2008-2009","6","64","29","12.80","0","-","-","-","-","2","0","-",""
"590","JB Reva (PNG)","2015-2017","6","16","7","4.00","0","6","2/11","20.16","0","0","0","-16.16",""
"591","Saqlain Haider (UAE)","2016-2016","6","14","7","3.50","0","-","-","-","-","4","0","-",""
"592","Shahadat Hossain (BDESH)","2006-2013","6","8","4*","4.00","0","4","2/22","49.50","0","0","0","-45.49",""
"593","DS Smith (WI)","2007-2009","6","203","61","33.83","0","-","-","-","-","1","0","-",""
"594","J Smits (NL)","2008-2009","6","15","11*","15.00","0","-","-","-","-","1","0","-",""
"595","JT Smuts (SA)","2017-2017","6","110","45","18.33","0","1","1/19","72.00","0","1","0","-53.66",""
"596","T Thushara (SL)","2008-2010","6","4","3","2.00","0","7","2/37","25.57","0","2","0","-23.57",""
"597","RJW Topley (ENG)","2015-2016","6","1","1*","-","0","5","3/24","34.60","0","1","0","-",""
"598","TP Ura (PNG)","2015-2017","6","99","32","16.50","0","-","-","-","-","0","0","-",""
"599","Usman Khan (PAK)","2013-2017","6","2","2*","-","0","3","2/20","45.00","0","1","0","-",""
"600","WPUJC Vaas (SL)","2006-2007","6","33","21","33.00","0","6","2/14","21.33","0","0","0","11.66",""
"601","B Zuiderent (NL)","2009-2010","6","108","43*","21.60","0","-","-","-","-","2","0","-",""
"602","Abu Hider (BDESH)","2016-2016","5","14","14","14.00","0","3","2/40","34.00","0","0","0","-19.99",""
"603","Aizaz Cheema (PAK)","2011-2012","5","0","0*","-","0","8","4/30","14.50","0","0","0","-",""
"604","Amjad Ali (UAE)","2014-2015","5","42","20","10.50","0","-","-","-","-","1","0","-",""
"605","Awais Zia (PAK)","2012-2014","5","70","23","14.00","0","-","-","-","-","0","0","-",""
"606","L Balaji (INDIA)","2012-2012","5","-","-","-","-","10","3/19","12.10","0","0","0","-",""
"607","GEF Barnett (CAN)","2008-2010","5","131","36","32.75","0","0","-","-","0","2","0","-",""
"608","D Bishoo (WI)","2011-2015","5","6","6*","6.00","0","6","4/17","18.16","0","0","0","-12.16",""
"609","DG Brownlie (NZ)","2010-2014","5","6","5","1.20","0","-","-","-","-","3","0","-",""
"610","RW Chakabva (ZIM)","2008-2015","5","18","13","3.60","0","-","-","-","-","0","0","-",""
"611","SM Davies (ENG)","2009-2011","5","102","33","20.40","0","-","-","-","-","2","1","-",""
"612","JM Davison (CAN)","2008-2010","5","44","19","8.80","0","4","2/19","22.75","0","2","0","-13.94",""
"613","JL Denly (ENG)","2009-2010","5","20","14","4.00","0","1","1/9","9.00","0","1","0","-4.99",""
"614","BR Dunk (AUS)","2014-2017","5","99","32","19.80","0","-","-","-","-","5","2","-",""
"615","Ehsan Nawaz (HKG)","2014-2017","5","0","0","0.00","0","2","1/22","39.50","0","0","0","-39.49",""
"616","AM Ellis (NZ)","2012-2013","5","25","16","8.33","0","2","2/40","52.50","0","0","0","-44.16",""
"617","SP Fleming (NZ)","2005-2006","5","110","38","22.00","0","-","-","-","-","2","0","-",""
"618","DR Flynn (NZ)","2008-2012","5","59","23","11.80","0","0","-","-","0","2","0","-",""
"619","JS Foster (ENG)","2009-2009","5","37","14*","12.33","0","-","-","-","-","3","3","-",""
"620","AM Guruge (UAE)","2014-2015","5","3","1*","3.00","0","5","2/18","25.00","0","1","0","-21.99",""
"621","Hammad Azam (PAK)","2012-2013","5","34","21","11.33","0","-","-","-","-","2","0","-",""
"622","WW Hinds (WI)","2006-2010","5","30","14","7.50","0","-","-","-","-","1","0","-",""
"623","JM How (NZ)","2007-2008","5","56","31","11.20","0","-","-","-","-","1","0","-",""
"624","DP Hyatt (WI)","2011-2012","5","64","28","16.00","0","-","-","-","-","4","0","-",""
"625","Imran Haider (UAE)","2016-2017","5","-","-","-","-","5","1/16","25.60","0","1","0","-",""
"626","CU Jayasinghe (SL)","2009-2010","5","49","38","49.00","0","-","-","-","-","0","0","-",""
"627","K Jethi (CAN)","2008-2008","5","41","24","10.25","0","-","-","-","-","1","0","-",""
"628","NG Jones (IRE)","2010-2012","5","42","14*","21.00","0","0","-","-","0","1","0","-",""
"629","SHT Kandamby (SL)","2008-2011","5","13","10","3.25","0","-","-","-","-","4","0","-",""
"630","TE Kane (IRE)","2015-2015","5","28","26*","28.00","0","7","3/19","10.71","0","0","0","17.28",""
"631","Karan KC (NEPAL)","2015-2015","5","5","2*","2.50","0","4","2/24","34.50","0","1","0","-31.99",""
"632","Kuldeep Yadav (INDIA)","2017-2017","5","16","16","16.00","0","6","2/16","21.00","0","0","0","-4.99",""
"633","GA Lamb (ZIM)","2010-2010","5","32","14*","16.00","0","4","2/14","20.00","0","0","0","-3.99",""
"634","CA Lynn (AUS)","2014-2016","5","65","33*","21.66","0","-","-","-","-","2","0","-",""
"635","JN Mohammed (WI)","2017-2017","5","59","23*","59.00","0","0","-","-","0","0","0","-",""
"636","VV Morea (PNG)","2015-2017","5","35","19","7.00","0","-","-","-","-","0","0","-",""
"637","JM Muirhead (AUS)","2014-2014","5","4","3","4.00","0","6","2/13","18.16","0","3","0","-14.16",""
"638","N M'shangwe (ZIM)","2013-2014","5","5","5*","5.00","0","4","2/33","35.50","0","1","0","-30.49",""
"639","CT Mutombodzi (ZIM)","2013-2016","5","18","12*","4.50","0","2","2/28","40.50","0","1","0","-35.99",""
"640","AR Nurse (WI)","2011-2017","5","22","13*","22.00","0","1","1/23","125.00","0","1","0","-102.99",""
"641","LN Onyango (KENYA)","2007-2010","5","17","5","8.50","0","4","2/17","32.00","0","0","0","-23.49",""
"642","SD Parry (ENG)","2014-2015","5","1","1","1.00","0","3","2/33","46.00","0","2","0","-44.99",""
"643","D Paterson (SA)","2017-2017","5","4","4*","-","0","7","4/32","20.57","0","1","0","-",""
"644","SS Pathirana (SL)","2016-2017","5","27","14","5.40","0","5","2/23","23.80","0","0","0","-18.39",""
"645","DBL Powell (WI)","2007-2007","5","1","1*","-","0","2","1/6","65.50","0","2","0","-",""
"646","Raqibul Hasan (BDESH)","2008-2010","5","51","18","10.20","0","-","-","-","-","1","0","-",""
"647","Raza-ur-Rehman (CAN)","2012-2013","5","25","10","6.25","0","2","2/16","29.00","0","2","0","-22.74",""
"648","Rumman Raees (PAK)","2016-2017","5","-","-","-","-","4","2/37","32.00","0","1","0","-",""
"649","Shuvagata Hom (BDESH)","2016-2016","5","35","16*","17.50","0","2","1/18","35.50","0","1","0","-17.99",""
"650","SJS Smith (SCOT)","2010-2012","5","21","9","7.00","0","-","-","-","-","0","1","-",""
"651","Sohail Khan (PAK)","2008-2017","5","1","1*","-","0","5","2/13","24.60","0","0","0","-",""
"652","CA Soper (PNG)","2015-2017","5","18","8*","18.00","0","4","3/13","17.50","0","1","0","0.50",""
"653","Tanveer Ahmed (HKG)","2016-2017","5","7","7*","7.00","0","3","2/29","38.66","0","1","0","-31.66",""
"654","JM Vince (ENG)","2015-2016","5","163","46","32.60","0","-","-","-","-","0","0","-",""
"655","BJ Watling (NZ)","2009-2014","5","38","22","9.50","0","-","-","-","-","3","0","-",""
"656","K Weeraratne (SL)","2008-2009","5","49","20*","16.33","0","4","4/19","31.50","0","4","0","-15.16",""
"657","RM West (IRE)","2009-2009","5","11","8","3.66","0","3","1/23","47.33","0","1","0","-43.66",""
"658","BTJ Wheal (SCOT)","2016-2017","5","2","2*","-","0","5","3/20","28.60","0","1","0","-",""
"659","Zeeshan Siddiqui (OMAN)","2015-2015","5","60","33*","15.00","0","-","-","-","-","0","0","-",""
"660","C Zhuwao (ZIM)","2008-2011","5","24","12","4.80","0","1","1/1","1.00","0","1","0","3.80",""
"661","Abdul Shakoor (UAE)","2015-2015","4","28","20*","14.00","0","-","-","-","-","0","0","-",""
"662","Abul Hasan (BDESH)","2012-2012","4","9","9","9.00","0","2","2/33","54.00","0","0","0","-44.99",""
"663","AR Adams (NZ)","2005-2006","4","13","7","13.00","0","3","2/20","35.00","0","1","0","-21.99",""
"664","AB Agarkar (INDIA)","2006-2007","4","15","14","7.50","0","3","2/10","28.33","0","0","0","-20.83",""
"665","Amjad Gul (UAE)","2015-2016","4","28","24","9.33","0","-","-","-","-","2","0","-",""
"666","J Anderson (IRE)","2015-2015","4","12","9","6.00","0","0","-","-","0","0","0","-",""
"667","NJ Astle (NZ)","2005-2006","4","74","40*","24.66","0","4","3/20","12.50","0","3","0","12.16",""
"668","WD Balaji Rao (CAN)","2008-2008","4","32","22*","10.66","0","6","3/21","17.83","0","1","0","-7.16",""
"669","HMCM Bandara (SL)","2006-2009","4","12","7","6.00","0","4","3/32","24.00","0","1","0","-17.99",""
"670","RA Bhatti (CAN)","2012-2012","4","25","11*","8.33","0","-","-","-","-","1","1","-",""
"671","TR Birt (AUS)","2010-2012","4","31","17","10.33","0","-","-","-","-","1","0","-",""
"672","NB Budayair (NEPAL)","2014-2014","4","7","5","3.50","0","-","-","-","-","0","0","-",""
"673","AF Buurman (NL)","2010-2010","4","0","0","0.00","0","-","-","-","-","1","1","-",""
"674","AN Cook (ENG)","2007-2009","4","61","26","15.25","0","-","-","-","-","1","0","-",""
"675","RR David (CAN)","2008-2008","4","39","17","9.75","0","-","-","-","-","2","0","-",""
"676","LA Dawson (ENG)","2016-2017","4","7","7*","-","0","4","3/27","25.50","0","2","0","-",""
"677","AP Devcich (NZ)","2013-2014","4","111","59","27.75","0","2","2/16","40.00","0","2","0","-12.24",""
"678","Ehsan Khan (HKG)","2016-2017","4","81","42*","81.00","0","6","2/17","14.83","0","1","0","66.16",""
"679","Faheem Ashraf (PAK)","2017-2017","4","17","13*","17.00","0","6","3/16","8.00","0","1","0","9.00",""
"680","R Flannigan (SCOT)","2012-2012","4","38","18","12.66","0","-","-","-","-","0","0","-",""
"681","Haris Sohail (PAK)","2013-2015","4","45","30*","15.00","0","-","-","-","-","1","0","-",""
"682","Izatullah Dawlatzai (AFG)","2012-2012","4","0","0*","-","0","6","3/33","22.33","0","1","0","-",""
"683","Joginder Sharma (INDIA)","2007-2007","4","-","-","-","-","4","2/20","34.50","0","2","0","-",""
"684","Kaleemullah (OMAN)","2017-2017","4","0","0","0.00","0","3","2/23","30.33","0","0","0","-30.33",""
"685","E Katchay (CAN)","2008-2008","4","15","8*","15.00","0","3","1/18","23.66","0","0","0","-8.66",""
"686","Khurram Chohan (CAN)","2010-2010","4","18","8","9.00","0","1","1/24","106.00","0","1","0","-96.99",""
"687","Khurram Nawaz (OMAN)","2017-2017","4","78","26*","39.00","0","-","-","-","-","0","0","-",""
"688","Liton Das (BDESH)","2015-2017","4","58","22","14.50","0","-","-","-","-","3","0","-",""
"689","DL Maddy (ENG)","2007-2007","4","113","50","28.25","0","3","2/6","8.66","0","1","0","19.58",""
"690","SI Mahmood (ENG)","2006-2009","4","1","1*","-","0","3","1/31","51.66","0","1","0","-",""
"691","GT Main (SCOT)","2015-2016","4","-","-","-","-","2","1/13","17.00","0","1","0","-",""
"692","DR Martyn (AUS)","2005-2006","4","120","96","30.00","0","-","-","-","-","1","0","-",""
"693","TS Mills (ENG)","2016-2017","4","0","0","0.00","0","3","1/27","38.66","0","1","0","-38.66",""
"694","Mohammad Saifuddin (BDESH)","2017-2017","4","68","39*","34.00","0","3","2/53","40.00","0","0","0","-5.99",""
"695","HJC Mol (NL)","2008-2008","4","0","0","0.00","0","0","-","-","0","1","0","-",""
"696","JK Mukhiya (NEPAL)","2014-2015","4","0","0*","-","0","4","3/18","14.00","0","1","0","-",""
"697","AA Mulla (CAN)","2008-2008","4","11","8","2.75","0","-","-","-","-","1","2","-",""
"698","T Mupariwa (ZIM)","2007-2008","4","5","3*","-","0","1","1/22","94.00","0","0","0","-",""
"699","D Murphy (SCOT)","2013-2013","4","35","20","35.00","0","-","-","-","-","1","0","-",""
"700","Naseem Khushi (OMAN)","2017-2017","4","54","29","18.00","0","-","-","-","-","0","0","-",""
"701","Naved-ul-Hasan (PAK)","2006-2010","4","18","17*","18.00","0","5","3/19","20.20","0","2","0","-2.19",""
"702","Nazmul Hossain (BDESH)","2009-2012","4","3","3*","-","0","1","1/15","67.00","0","0","0","-",""
"703","HM Nicholls (NZ)","2016-2017","4","15","7","5.00","0","-","-","-","-","0","0","-",""
"704","IE O'Brien (NZ)","2009-2009","4","-","-","-","-","6","2/30","19.33","0","0","0","-",""
"705","KO Otieno (KENYA)","2008-2008","4","74","40","18.50","0","-","-","-","-","2","0","-",""
"706","JL Pattinson (AUS)","2011-2012","4","5","5*","-","0","3","2/17","34.66","0","3","0","-",""
"707","CP Schofield (ENG)","2007-2007","4","24","9*","24.00","0","4","2/15","23.00","0","1","0","1.00",""
"708","Shahid Wasif (HKG)","2016-2017","4","49","40","24.50","0","-","-","-","-","1","0","-",""
"709","Sharafuddin Ashraf (AFG)","2015-2015","4","-","-","-","-","3","3/27","39.66","0","0","0","-",""
"710","Shoaib Khan jnr (PAK)","2008-2008","4","65","50","16.25","0","-","-","-","-","1","0","-",""
"711","AJ Strauss (ENG)","2005-2009","4","73","33","18.25","0","-","-","-","-","1","0","-",""
"712","R Strydom (IRE)","2008-2008","4","6","5*","6.00","0","-","-","-","-","1","0","-",""
"713","ZE Surkari (CAN)","2008-2008","4","10","6","3.33","0","-","-","-","-","0","0","-",""
"714","L Tucker (IRE)","2016-2017","4","43","16","10.75","0","-","-","-","-","1","0","-",""
"715","TP Visee (NL)","2015-2017","4","9","5","2.25","0","-","-","-","-","0","0","-",""
"716","I Wardlaw (SCOT)","2013-2013","4","1","1","1.00","0","9","3/40","16.11","0","0","0","-15.11",""
"717","BM Wheeler (NZ)","2017-2017","4","6","6","6.00","0","5","2/16","23.20","0","1","0","-17.19",""
"718","SA Abbott (AUS)","2014-2014","3","5","5","5.00","0","1","1/17","47.00","0","2","0","-41.99",""
"719","MS Aulakh (CAN)","2012-2013","3","0","0","0.00","0","3","2/40","27.33","0","1","0","-27.33",""
"720","LS Baker (WI)","2008-2009","3","-","-","-","-","2","1/12","29.00","0","0","0","-",""
"721","MD Bates (NZ)","2012-2012","3","-","-","-","-","4","3/31","26.75","0","0","0","-",""
"722","CS Baugh (WI)","2008-2012","3","10","7","3.33","0","-","-","-","-","0","0","-",""
"723","RL Bhudia (KENYA)","2007-2007","3","20","11*","10.00","0","0","-","-","0","1","0","-",""
"724","STR Binny (INDIA)","2015-2016","3","35","24","17.50","0","1","1/14","54.00","0","0","0","-36.49",""
"725","SM Boland (AUS)","2016-2016","3","-","-","-","-","3","3/26","30.00","0","1","0","-",""
"726","GB Brent (ZIM)","2006-2007","3","2","2","2.00","0","4","2/19","23.25","0","2","0","-21.24",""
"727","RJ Campbell (HKG)","2016-2016","3","36","27","12.00","0","2","2/28","34.00","0","1","0","-21.99",""
"728","JJ Celestine (BMUDA)","2008-2008","3","9","7","3.00","0","-","-","-","-","0","0","-",""
"729","TK Curran (ENG)","2017-2017","3","2","1*","-","0","6","3/33","16.83","0","1","0","-",""
"730","JWM Dalrymple (ENG)","2006-2007","3","60","32","20.00","0","2","1/10","19.50","0","1","0","0.50",""
"731","ST de Silva (SL)","2017-2017","3","3","3","1.50","0","0","-","-","0","0","0","-",""
"732","J Edness (BMUDA)","2008-2008","3","13","9","4.33","0","-","-","-","-","0","1","-",""
"733","RMS Eranga (SL)","2012-2013","3","6","6","6.00","0","3","2/30","30.00","0","1","0","-23.99",""
"734","Farhan Ahmed (UAE)","2016-2016","3","4","4","4.00","0","3","2/28","22.00","0","1","0","-17.99",""
"735","CJ Ferguson (AUS)","2009-2009","3","16","8","5.33","0","-","-","-","-","1","0","-",""
"736","CR Foggo (BMUDA)","2008-2008","3","13","7","4.33","0","-","-","-","-","1","0","-",""
"737","TG Gordon (CAN)","2012-2012","3","32","23","10.66","0","-","-","-","-","1","0","-",""
"738","Hamza Tariq (CAN)","2013-2013","3","26","22","13.00","0","-","-","-","-","3","0","-",""
"739","RJ Harris (AUS)","2010-2010","3","2","2*","-","0","4","2/27","23.75","0","0","0","-",""
"740","SM Harwood (AUS)","2007-2009","3","0","0*","-","0","3","2/21","37.66","0","0","0","-",""
"741","NM Hauritz (AUS)","2009-2009","3","6","4","3.00","0","2","1/20","23.50","0","1","0","-20.49",""
"742","Imran Khan (1) (PAK)","2015-2015","3","0","0","0.00","0","2","2/35","53.00","0","3","0","-52.99",""
"743","PJ Ingram (NZ)","2010-2010","3","22","20*","11.00","0","-","-","-","-","1","0","-",""
"744","SS Iyer (INDIA)","2017-2017","3","29","23","14.50","0","-","-","-","-","1","0","-",""
"745","Jahurul Islam (BDESH)","2010-2013","3","31","18","10.33","0","-","-","-","-","3","0","-",""
"746","Javed Ahmadi (AFG)","2012-2017","3","6","6","3.00","0","-","-","-","-","0","0","-",""
"747","MBS Jonkman (NL)","2010-2010","3","1","1","1.00","0","4","2/21","11.75","0","2","0","-10.74",""
"748","Kamran Shazad (UAE)","2014-2014","3","21","21","10.50","0","2","2/19","38.50","0","1","0","-27.99",""
"749","SM Katich (AUS)","2005-2006","3","69","39","34.50","0","-","-","-","-","2","0","-",""
"750","SKW Kelly (BMUDA)","2008-2008","3","13","11*","-","0","3","2/18","16.66","0","0","0","-",""
"751","Khurram Khan (UAE)","2014-2014","3","73","31","24.33","0","1","1/8","8.00","0","2","0","16.33",""
"752","Khurram Manzoor (PAK)","2016-2016","3","11","10","3.66","0","-","-","-","-","0","0","-",""
"753","M Klinger (AUS)","2017-2017","3","143","62","47.66","0","-","-","-","-","2","0","-",""
"754","B Laughlin (AUS)","2009-2013","3","-","-","-","-","2","1/32","59.00","0","1","0","-",""
"755","GI Maiden (SCOT)","2008-2008","3","0","0","0.00","0","2","1/20","29.00","0","1","0","-28.99",""
"756","Mandeep Singh (INDIA)","2016-2016","3","87","52*","43.50","0","-","-","-","-","1","0","-",""
"757","HJH Marshall (NZ)","2005-2006","3","12","8","4.00","0","-","-","-","-","1","0","-",""
"758","JAH Marshall (NZ)","2005-2008","3","14","13","7.00","0","-","-","-","-","0","0","-",""
"759","MJ Mason (NZ)","2006-2008","3","2","2","2.00","0","2","1/18","32.50","0","0","0","-30.49",""
"760","GE Mathurin (WI)","2011-2012","3","4","3*","-","0","4","3/9","16.25","0","1","0","-",""
"761","RD McCann (IRE)","2012-2012","3","1","1","1.00","0","-","-","-","-","1","2","-",""
"762","GJ McCarter (IRE)","2015-2015","3","-","-","-","-","0","-","-","0","0","0","-",""
