"","Player","Span","Mat","Inns","NO","Runs","HS","Ave","BF","SR","100","50","0","4s","6s",""
"94","V Sibanda (ZIM)","2007-2016","26","26","1","511","59","20.44","503","101.59","0","1","3","52","11",""
"95","CO Obuya (KENYA)","2007-2013","26","24","6","507","75*","28.16","463","109.50","0","3","3","37","10",""
"96","Noor Ali Zadran (AFG)","2010-2017","20","20","1","506","63","26.63","497","101.81","0","3","1","45","6",""
"97","Karim Sadiq (AFG)","2010-2016","34","34","0","505","72","14.85","456","110.74","0","1","4","58","9",""
"98","Nawroz Mangal (AFG)","2010-2017","32","32","4","505","65*","18.03","453","111.47","0","2","4","42","19",""
"99","SC Williams (ZIM)","2006-2016","24","24","2","501","58*","22.77","409","122.49","0","3","2","48","8",""
"100","Imran Nazir (PAK)","2007-2012","25","24","1","500","72","21.73","370","135.13","0","3","2","59","22",""
"101","CS MacLeod (SCOT)","2009-2017","28","27","3","489","60","20.37","452","108.18","0","4","3","37","13",""
"102","MJ Clarke (AUS)","2005-2010","34","28","5","488","67","21.21","473","103.17","0","1","2","29","10",""
"103","JDP Oram (NZ)","2005-2012","36","30","7","474","66*","20.60","339","139.82","0","2","3","38","22",""
"104","GJ Bailey (AUS/World)","2012-2017","30","26","7","473","63","24.89","346","136.70","0","2","1","37","20",""
"105","JJ Roy (ENG)","2014-2017","23","23","0","472","78","20.52","352","134.09","0","2","4","47","20",""
"106","Babar Azam (PAK)","2016-2017","14","14","4","468","86","46.80","384","121.87","0","2","0","44","6",""
"107","E Lewis (WI)","2016-2017","14","14","1","468","125*","36.00","302","154.96","2","2","1","26","40",""
"108","NJ O'Brien (IRE)","2008-2016","30","28","2","466","50","17.92","475","98.10","0","1","0","40","7",""
"109","JEC Franklin (NZ)","2006-2013","38","31","8","463","60","20.13","391","118.41","0","2","2","28","23",""
"110","JD Ryder (NZ)","2008-2014","22","21","1","457","62","22.85","358","127.65","0","3","2","47","18",""
"111","Mohammad Ashraful (BDESH)","2007-2013","23","23","0","450","65","19.56","356","126.40","0","2","2","48","11",""
"112","F Behardien (SA)","2012-2017","34","26","11","445","64*","29.66","359","123.95","0","1","1","31","13",""
"113","Younis Khan (PAK)","2006-2010","25","23","3","442","51","22.10","364","121.42","0","2","2","31","12",""
"114","CJ Anderson (NZ)","2012-2017","29","22","3","432","94*","22.73","314","137.57","0","2","3","26","24",""
"115","SPD Smith (AUS)","2010-2016","30","25","5","431","90","21.55","352","122.44","0","2","1","34","11",""
"116","Gulbadin Naib (AFG)","2012-2017","36","30","8","430","56*","19.54","354","121.46","0","1","2","31","20",""
"117","D Ramdin (WI)","2006-2016","58","38","12","421","55*","16.19","364","115.65","0","1","2","39","8",""
"118","PL Mommsen (SCOT)","2012-2016","24","19","7","419","68*","34.91","329","127.35","0","2","1","32","11",""
"119","BN Cooper (NL)","2013-2017","26","23","5","411","66","22.83","350","117.42","0","2","3","37","15",""
"120","Rohan Mustafa (UAE)","2014-2017","24","23","1","411","77","18.68","343","119.82","0","2","2","43","15",""
"121","MW Machan (SCOT)","2013-2016","13","13","3","407","67*","40.70","318","127.98","0","3","0","37","7",""
"122","EC Joyce (ENG/IRE)","2006-2014","18","15","3","405","78*","33.75","431","93.96","0","1","0","30","5",""
"123","TLW Cooper (NL)","2012-2016","18","17","3","404","72*","28.85","306","132.02","0","2","2","38","16",""
"124","BJ Haddin (AUS)","2006-2014","34","29","6","402","47","17.47","351","114.52","0","0","2","30","13",""
"125","RT Ponting (AUS)","2005-2009","17","16","2","401","98*","28.64","302","132.78","0","2","2","41","11",""
"126","HH Gibbs (SA)","2005-2010","23","23","1","400","90*","18.18","318","125.78","0","3","4","45","12",""
"127","V Sehwag (INDIA)","2006-2012","19","18","0","394","68","21.88","271","145.38","0","2","1","43","16",""
"128","Abdul Razzaq (PAK)","2006-2013","32","29","10","393","46*","20.68","337","116.61","0","0","2","21","21",""
"129","MS Chapman (HKG)","2014-2016","19","18","1","392","63*","23.05","347","112.96","0","1","0","34","9",""
"130","MH Cross (SCOT)","2013-2017","23","18","1","392","60","23.05","288","136.11","0","1","1","42","16",""
"131","Shafiqullah (AFG)","2010-2017","35","32","9","392","51*","17.04","274","143.06","0","1","4","29","23",""
"132","Sarfraz Ahmed (PAK)","2010-2017","35","24","9","391","76*","26.06","335","116.71","0","2","1","37","4",""
"133","Muhammad Usman (UAE)","2016-2017","19","18","3","382","58","25.46","349","109.45","0","1","1","39","11",""
"134","Mashrafe Mortaza (BDESH)","2006-2017","54","39","11","377","36","13.46","277","136.10","0","0","6","28","23",""
"135","Nizakat Khan (HKG)","2014-2017","23","21","0","377","62","17.95","314","120.06","0","2","3","27","15",""
