"","Player","Span","Mat","Inns","NO","Runs","HS","Ave","BF","SR","100","50","0","4s","6s",""
"507","RJ Campbell (HKG)","2016-2016","3","3","0","36","27","12.00","47","76.59","0","0","1","6","0",""
"508","Mohammed Qasim (UAE)","2016-2017","3","3","1","36","13*","18.00","51","70.58","0","0","0","2","0",""
"509","PA Patel (INDIA)","2011-2011","2","2","0","36","26","18.00","32","112.50","0","0","0","4","1",""
"510","STR Binny (INDIA)","2015-2016","3","2","0","35","24","17.50","29","120.68","0","0","0","2","1",""
"511","CD de Lange (SCOT)","2015-2017","8","3","0","35","22","11.66","22","159.09","0","0","0","2","2",""
"512","VV Morea (PNG)","2015-2017","5","5","0","35","19","7.00","44","79.54","0","0","1","4","0",""
"513","D Murphy (SCOT)","2013-2013","4","4","3","35","20","35.00","35","100.00","0","0","0","1","0",""
"514","R Powell (WI)","2017-2017","7","4","1","35","28","11.66","29","120.68","0","0","1","2","2",""
"515","Shuvagata Hom (BDESH)","2016-2016","5","4","2","35","16*","17.50","35","100.00","0","0","0","3","1",""
"516","Arafat Sunny (BDESH)","2014-2016","10","6","3","34","10","11.33","30","113.33","0","0","0","3","1",""
"517","Hammad Azam (PAK)","2012-2013","5","4","1","34","21","11.33","34","100.00","0","0","0","3","1",""
"518","Nadeem Ahmed (HKG)","2014-2017","24","9","4","34","10","6.80","55","61.81","0","0","1","2","0",""
"519","JD Nel (SCOT)","2007-2010","10","5","2","34","13*","11.33","25","136.00","0","0","1","3","1",""
"520","OL Pitcher (BMUDA)","2008-2008","3","3","0","34","15","11.33","53","64.15","0","0","0","1","0",""
"521","GO Jones (ENG)","2005-2006","2","2","1","33","19","33.00","25","132.00","0","0","0","5","0",""
"522","MF Maharoof (SL)","2006-2016","8","5","1","33","13*","8.25","43","76.74","0","0","1","0","1",""
"523","RJMGM Rupasinghe (SL)","2009-2009","2","2","0","33","18","16.50","39","84.61","0","0","0","2","0",""
"524","WPUJC Vaas (SL)","2006-2007","6","2","1","33","21","33.00","41","80.48","0","0","0","1","0",""
"525","WD Balaji Rao (CAN)","2008-2008","4","4","1","32","22*","10.66","30","106.66","0","0","1","1","2",""
"526","SE Findlay (WI)","2008-2008","2","2","0","32","19","16.00","31","103.22","0","0","0","4","0",""
"527","TG Gordon (CAN)","2012-2012","3","3","0","32","23","10.66","37","86.48","0","0","0","3","0",""
"528","GA Lamb (ZIM)","2010-2010","5","4","2","32","14*","16.00","54","59.25","0","0","1","1","0",""
"529","SNJ O'Keefe (AUS)","2010-2011","7","5","0","32","22","6.40","26","123.07","0","0","0","4","1",""
"530","Shadab Khan (PAK)","2017-2017","10","3","2","32","16*","32.00","20","160.00","0","0","0","2","1",""
"531","J Theron (SA)","2010-2012","9","3","3","32","31*","-","21","152.38","0","0","0","3","1",""
"532","JC Tredwell (ENG)","2012-2014","17","6","3","32","22","10.66","20","160.00","0","0","1","4","1",""
"533","B Bhandari (NEPAL)","2014-2015","10","10","2","31","13","3.87","51","60.78","0","0","1","3","0",""
"534","TR Birt (AUS)","2010-2012","4","3","0","31","17","10.33","33","93.93","0","0","0","3","1",""
"535","R Dravid (INDIA)","2011-2011","1","1","0","31","31","31.00","21","147.61","0","0","0","0","3",""
"536","Jahurul Islam (BDESH)","2010-2013","3","3","0","31","18","10.33","23","134.78","0","0","0","3","1",""
"537","PA Nixon (ENG)","2007-2007","1","1","1","31","31*","-","22","140.90","0","0","0","2","1",""
"538","H Osinde (CAN)","2008-2013","11","6","2","31","17","7.75","34","91.17","0","0","0","1","2",""
"539","WB Rankin (ENG/IRE)","2009-2017","26","6","4","31","16*","15.50","32","96.87","0","0","0","2","1",""
"540","MRJ Watt (SCOT)","2015-2017","18","6","3","31","11*","10.33","21","147.61","0","0","1","3","1",""
"541","WW Hinds (WI)","2006-2010","5","5","1","30","14","7.50","41","73.17","0","0","1","3","0",""
"542","S Badree (WI/World)","2012-2017","42","11","8","29","14*","9.66","48","60.41","0","0","0","1","0",""
"543","SS Iyer (INDIA)","2017-2017","3","2","0","29","23","14.50","27","107.40","0","0","0","4","0",""
"544","AU Rashid (ENG)","2009-2017","24","10","6","29","9*","7.25","39","74.35","0","0","0","1","0",""
"545","Abdul Shakoor (UAE)","2015-2015","4","3","1","28","20*","14.00","34","82.35","0","0","0","2","0",""
"546","Ahsan Malik (NL)","2012-2017","31","8","5","28","11*","9.33","30","93.33","0","0","1","1","1",""
"547","Amjad Gul (UAE)","2015-2016","4","3","0","28","24","9.33","30","93.33","0","0","0","3","1",""
"548","PJ Cummins (AUS)","2011-2017","18","10","3","28","13","4.00","34","82.35","0","0","2","1","1",""
"549","TE Kane (IRE)","2015-2015","5","2","1","28","26*","28.00","20","140.00","0","0","0","3","0",""
"550","A Nehra (INDIA)","2009-2017","27","5","0","28","22","5.60","39","71.79","0","0","3","1","2",""
"551","PJ Ongondo (KENYA)","2007-2008","8","6","0","28","16","4.66","23","121.73","0","0","2","1","2",""
"552","NE Bonner (WI)","2011-2012","2","2","0","27","24","13.50","38","71.05","0","0","0","2","0",""
"553","DT Christian (AUS)","2010-2017","16","7","3","27","9","6.75","28","96.42","0","0","1","2","0",""
"554","Mehidy Hasan Miraz (BDESH)","2017-2017","3","3","0","27","14","9.00","19","142.10","0","0","1","1","2",""
"555","Mohammad Iqbal (CAN)","2008-2008","3","3","0","27","22","9.00","39","69.23","0","0","0","1","0",""
"556","Nadif Chowdhury (BDESH)","2006-2007","3","3","0","27","12","9.00","23","117.39","0","0","0","2","0",""
"557","SS Pathirana (SL)","2016-2017","5","5","0","27","14","5.40","24","112.50","0","0","0","3","0",""
"558","AL Phehlukwayo (SA)","2017-2017","9","3","1","27","27*","13.50","23","117.39","0","0","2","4","0",""
"559","Shapoor Zadran (AFG)","2010-2017","32","13","6","27","13","3.85","65","41.53","0","0","3","0","3",""
"560","I Udana (SL)","2009-2017","13","7","3","27","19*","6.75","24","112.50","0","0","2","3","1",""
"561","MP Vaughan (ENG)","2005-2007","2","2","0","27","27","13.50","22","122.72","0","0","1","4","0",""
"562","Zulfiqar Babar (PAK)","2013-2014","7","3","3","27","13*","-","27","100.00","0","0","0","2","1",""
"563","TB de Bruyn (SA)","2017-2017","2","2","0","26","19","13.00","16","162.50","0","0","0","3","1",""
"564","D Ganga (WI)","2006-2006","1","1","0","26","26","26.00","31","83.87","0","0","0","3","1",""
"565","Hamza Tariq (CAN)","2013-2013","3","2","0","26","22","13.00","23","113.04","0","0","0","0","2",""
"566","TJ Murtagh (IRE)","2012-2016","14","5","3","26","12*","13.00","25","104.00","0","0","0","0","1",""
"567","AJ Turner (AUS)","2017-2017","3","3","0","26","18","8.66","21","123.80","0","0","0","1","0",""
"568","RA Bhatti (CAN)","2012-2012","4","4","1","25","11*","8.33","37","67.56","0","0","1","1","0",""
"569","AM Ellis (NZ)","2012-2013","5","5","2","25","16","8.33","21","119.04","0","0","0","1","1",""
"570","CRD Fernando (SL)","2006-2016","18","7","2","25","21","5.00","27","92.59","0","0","2","4","0",""
"571","G Goudie (SCOT)","2010-2013","9","6","2","25","9*","6.25","20","125.00","0","0","0","2","1",""
"572","RK Kleinveldt (SA)","2008-2013","6","3","2","25","22","25.00","10","250.00","0","0","0","1","3",""
"573","PM Nevill (AUS)","2016-2016","9","5","4","25","10*","25.00","11","227.27","0","0","0","1","2",""
"574","N Pooran (WI)","2016-2016","3","3","0","25","16","8.33","22","113.63","0","0","0","2","1",""
"575","Raza-ur-Rehman (CAN)","2012-2013","5","4","0","25","10","6.25","29","86.20","0","0","0","3","0",""
"576","Shahriar Nafees (BDESH)","2006-2006","1","1","0","25","25","25.00","17","147.05","0","0","0","3","1",""
"577","JW Dernbach (ENG)","2011-2014","34","7","2","24","12","4.80","21","114.28","0","0","1","3","0",""
"578","JN Gillespie (AUS)","2005-2005","1","1","0","24","24","24.00","18","133.33","0","0","0","4","0",""
"579","Rameez Raja (2) (PAK)","2011-2011","2","2","0","24","23","12.00","29","82.75","0","0","0","2","0",""
"580","CP Schofield (ENG)","2007-2007","4","4","3","24","9*","24.00","20","120.00","0","0","0","2","0",""
"581","C Zhuwao (ZIM)","2008-2011","5","5","0","24","12","4.80","39","61.53","0","0","3","4","0",""
"582","KJ Abbott (SA)","2013-2016","21","6","4","23","9*","11.50","20","115.00","0","0","0","2","0",""
"583","AB Barath (WI)","2010-2011","2","2","0","23","15","11.50","39","58.97","0","0","0","3","0",""
"584","Bilawal Bhatti (PAK)","2013-2015","9","4","2","23","13*","11.50","14","164.28","0","0","1","2","1",""
"585","T Panyangara (ZIM)","2013-2016","14","5","4","23","17*","23.00","17","135.29","0","0","0","1","2",""
"586","LE Plunkett (ENG)","2006-2017","14","7","2","23","18","4.60","20","115.00","0","0","2","2","0",""
"587","Zulqarnain Haider (PAK)","2007-2010","3","3","0","23","17","7.66","30","76.66","0","0","0","1","0",""
"588","Abdur Rehman (PAK)","2007-2013","8","5","3","22","7*","11.00","29","75.86","0","0","0","0","0",""
"589","AB Dinda (INDIA)","2009-2012","9","2","1","22","19","22.00","24","91.66","0","0","0","1","0",""
"590","PJ Ingram (NZ)","2010-2010","3","3","1","22","20*","11.00","35","62.85","0","0","1","3","0",""
"591","WP Masakadza (ZIM)","2015-2016","7","5","3","22","6*","11.00","27","81.48","0","0","0","2","0",""
"592","M Morkel (SA/World)","2007-2017","44","8","5","22","8*","7.33","18","122.22","0","0","0","3","1",""
"593","DP Nannes (AUS/NL)","2009-2010","17","5","3","22","12*","11.00","18","122.22","0","0","0","1","1",""
"594","AR Nurse (WI)","2011-2017","5","3","2","22","13*","22.00","20","110.00","0","0","0","1","1",""
"595","E Otieno (KENYA)","2012-2013","10","5","1","22","8","5.50","43","51.16","0","0","0","0","1",""
"596","B Regmi (NEPAL)","2014-2015","11","9","3","22","11","3.66","52","42.30","0","0","1","2","0",""
"597","FL Reifer (WI)","2009-2009","1","1","0","22","22","22.00","20","110.00","0","0","0","2","1",""
"598","Umair Ali (UAE)","2015-2015","3","3","2","22","13","22.00","18","122.22","0","0","0","2","1",""
"599","Anas Khan (HKG)","2014-2014","1","1","1","21","21*","-","28","75.00","0","0","0","2","0",""
"600","SE Bond (NZ)","2005-2010","20","8","3","21","8*","4.20","21","100.00","0","0","2","2","0",""
"601","PC de Silva (SL)","2017-2017","1","1","0","21","21","21.00","20","105.00","0","0","0","1","0",""
"602","MR Gillespie (NZ)","2006-2008","11","6","4","21","7","10.50","29","72.41","0","0","0","0","0",""
"603","Kamran Shazad (UAE)","2014-2014","3","2","0","21","21","10.50","17","123.52","0","0","1","1","2",""
"604","AF Milne (NZ)","2010-2017","19","7","7","21","10*","-","23","91.30","0","0","0","1","0",""
"605","Mohammad Nadeem (OMAN)","2015-2017","6","4","0","21","7","5.25","20","105.00","0","0","0","2","0",""
"606","Mohammad Sami (PAK)","2010-2016","13","4","3","21","8","21.00","30","70.00","0","0","0","2","0",""
"607","Rony Talukdar (BDESH)","2015-2015","1","1","0","21","21","21.00","22","95.45","0","0","0","0","1",""
"608","Shoaib Akhtar (PAK)","2006-2010","15","6","3","21","8*","7.00","16","131.25","0","0","1","2","1",""
"609","SJS Smith (SCOT)","2010-2012","5","4","1","21","9","7.00","40","52.50","0","0","1","1","0",""
"610","Taskin Ahmed (BDESH)","2014-2017","17","5","2","21","15*","7.00","22","95.45","0","0","1","2","1",""
"611","PA van Meekeren (NL)","2013-2017","18","4","0","21","18","5.25","19","110.52","0","0","2","0","2",""
"612","RL Bhudia (KENYA)","2007-2007","3","3","1","20","11*","10.00","20","100.00","0","0","1","0","2",""
"613","JL Denly (ENG)","2009-2010","5","5","0","20","14","4.00","29","68.96","0","0","2","2","0",""
"614","DL Hemp (BMUDA)","2008-2008","2","2","0","20","20","10.00","32","62.50","0","0","1","2","1",""
"615","MJ North (AUS)","2009-2009","1","1","0","20","20","20.00","21","95.23","0","0","0","1","0",""
"616","JRMVB Sanjaya (SL)","2017-2017","8","5","2","20","6","6.66","18","111.11","0","0","0","3","0",""
"617","S Sreesanth (INDIA)","2006-2008","10","3","2","20","19*","20.00","14","142.85","0","0","1","4","0",""
"618","Fahad Tariq (UAE)","2016-2016","6","5","1","19","16","4.75","24","79.16","0","0","2","1","1",""
"619","HGJM Kulatunga (SL)","2008-2008","2","2","0","19","11","9.50","38","50.00","0","0","0","0","0",""
"620","CJ McKay (AUS)","2010-2013","6","4","2","19","7","9.50","22","86.36","0","0","1","1","1",""
"621","Muktar Ali (BDESH)","2016-2016","1","1","1","19","19*","-","15","126.66","0","0","0","1","1",""
"622","AM Phangiso (SA)","2012-2017","15","3","0","19","13","6.33","29","65.51","0","0","0","1","0",""
"623","RLB Rambukwella (SL)","2013-2016","2","1","0","19","19","19.00","16","118.75","0","0","0","1","1",""
"624","SV Samson (INDIA)","2015-2015","1","1","0","19","19","19.00","24","79.16","0","0","0","1","0",""
"625","Shafiul Islam (BDESH)","2010-2017","12","5","1","19","16","4.75","27","70.37","0","0","1","1","1",""
"626","RW Chakabva (ZIM)","2008-2015","5","5","0","18","13","3.60","40","45.00","0","0","2","1","0",""
"627","LHD Dilhara (SL)","2008-2008","2","1","1","18","18*","-","9","200.00","0","0","0","0","1",""
"628","XJ Doherty (AUS)","2012-2013","11","4","3","18","9*","18.00","17","105.88","0","0","0","1","0",""
"629","Hazratullah (AFG)","2016-2016","1","1","0","18","18","18.00","24","75.00","0","0","0","1","0",""
"630","Imran Tahir (SA/World)","2013-2017","36","3","2","18","9*","18.00","17","105.88","0","0","0","1","1",""
"631","Khurram Chohan (CAN)","2010-2010","4","4","2","18","8","9.00","14","128.57","0","0","0","1","1",""
"632","B Kumar (INDIA)","2012-2017","23","6","3","18","9","6.00","24","75.00","0","0","1","0","0",""
"633","SW Masakadza (ZIM)","2010-2013","7","5","1","18","9","4.50","24","75.00","0","0","1","1","0",""
"634","CT Mutombodzi (ZIM)","2013-2016","5","5","1","18","12*","4.50","24","75.00","0","0","1","1","0",""
"635","Nauman Anwar (PAK)","2015-2015","1","1","0","18","18","18.00","10","180.00","0","0","0","2","1",""
"636","Naved-ul-Hasan (PAK)","2006-2010","4","2","1","18","17*","18.00","16","112.50","0","0","0","0","2",""
"637","Raza Hasan (PAK)","2012-2014","10","4","4","18","13*","-","25","72.00","0","0","0","2","0",""
"638","CA Soper (PNG)","2015-2017","5","3","2","18","8*","18.00","33","54.54","0","0","0","0","0",""
"639","S Thuraisingam (CAN)","2008-2008","3","2","1","18","15","18.00","24","75.00","0","0","0","1","0",""
"640","JW Wilson (NZ)","2005-2005","1","1","0","18","18","18.00","14","128.57","0","0","0","2","0",""
"641","TL Best (WI)","2013-2014","6","1","1","17","17*","-","9","188.88","0","0","0","0","2",""
"642","TS Chisoro (ZIM)","2015-2016","7","2","1","17","10","17.00","17","100.00","0","0","0","1","0",""
"643","Faheem Ashraf (PAK)","2017-2017","4","3","2","17","13*","17.00","10","170.00","0","0","0","0","2",""
"644","LN Onyango (KENYA)","2007-2010","5","4","2","17","5","8.50","21","80.95","0","0","0","0","0",""
"645","PVD Chameera (SL)","2015-2016","13","7","6","16","9*","16.00","20","80.00","0","0","1","1","0",""
"646","CJ Ferguson (AUS)","2009-2009","3","3","0","16","8","5.33","19","84.21","0","0","1","1","0",""
"647","Kuldeep Yadav (INDIA)","2017-2017","5","1","0","16","16","16.00","19","84.21","0","0","0","1","0",""
"648","LS Livingstone (ENG)","2017-2017","2","2","0","16","16","8.00","19","84.21","0","0","1","1","0",""
"649","Mehrab Hossain jnr (BDESH)","2008-2009","2","2","1","16","10","16.00","25","64.00","0","0","0","1","0",""
"650","GD Phillips (NZ)","2017-2017","3","2","0","16","11","8.00","20","80.00","0","0","0","2","0",""
"651","JB Reva (PNG)","2015-2017","6","4","0","16","7","4.00","22","72.72","0","0","0","1","1",""
"652","BJ Rohrer (AUS)","2013-2013","1","1","0","16","16","16.00","14","114.28","0","0","0","0","1",""
"653","EHSN Silva (UAE)","2014-2014","2","2","1","16","13*","16.00","22","72.72","0","0","0","1","0",""
"654","AB Agarkar (INDIA)","2006-2007","4","2","0","15","14","7.50","11","136.36","0","0","0","2","0",""
"655","NW Bracken (AUS)","2006-2009","19","6","3","15","4*","5.00","22","68.18","0","0","1","1","0",""
"656","BE Hendricks (SA)","2014-2017","7","2","1","15","12*","15.00","15","100.00","0","0","0","0","1",""
"657","E Katchay (CAN)","2008-2008","4","3","2","15","8*","15.00","25","60.00","0","0","1","0","0",""
"658","HM Nicholls (NZ)","2016-2017","4","3","0","15","7","5.00","22","68.18","0","0","0","2","0",""
"659","LA Pomersbach (AUS)","2007-2007","1","1","0","15","15","15.00","7","214.28","0","0","0","1","1",""
"660","RW Price (ZIM)","2008-2012","16","9","4","15","7*","3.00","28","53.57","0","0","1","1","0",""
"661","Rubel Hossain (BDESH)","2009-2017","16","9","7","15","8*","7.50","23","65.21","0","0","1","1","0",""
"662","Shabir Noori (AFG)","2012-2012","1","1","0","15","15","15.00","18","83.33","0","0","0","1","0",""
"663","J Smits (NL)","2008-2009","6","2","1","15","11*","15.00","27","55.55","0","0","0","0","0",""
"664","DW Steyn (SA)","2007-2016","42","9","4","15","5","3.00","20","75.00","0","0","1","1","0",""
"665","AO Suji (KENYA)","2007-2010","8","5","2","15","7","5.00","29","51.72","0","0","0","0","0",""
"666","DT Tiripano (ZIM)","2016-2016","8","4","2","15","11*","7.50","22","68.18","0","0","1","0","1",""
"667","MK Tiwary (INDIA)","2011-2012","3","1","0","15","15","15.00","17","88.23","0","0","0","0","0",""
"668","JDF Vandersay (SL)","2015-2016","7","5","4","15","8*","15.00","17","88.23","0","0","0","2","0",""
"669","VB van Jaarsveld (SA)","2009-2009","3","3","0","15","12","5.00","23","65.21","0","0","1","0","0",""
"670","Abu Hider (BDESH)","2016-2016","5","1","0","14","14","14.00","10","140.00","0","0","0","1","1",""
"671","SG Borthwick (ENG)","2011-2011","1","1","0","14","14","14.00","16","87.50","0","0","0","2","0",""
"672","ST Finn (ENG)","2011-2015","21","3","3","14","8*","-","19","73.68","0","0","0","1","0",""
"673","MJ McClenaghan (NZ)","2012-2016","28","7","4","14","6*","4.66","15","93.33","0","0","2","1","1",""
"674","JAH Marshall (NZ)","2005-2008","3","2","0","14","13","7.00","15","93.33","0","0","0","2","0",""
"675","GH O'Brien (BMUDA)","2008-2008","3","3","1","14","7*","7.00","16","87.50","0","0","1","0","1",""
"676","AN Petersen (SA)","2010-2010","2","2","0","14","8","7.00","19","73.68","0","0","0","1","0",""
"677","VD Philander (SA)","2007-2007","7","4","0","14","6","3.50","28","50.00","0","0","0","0","0",""
"678","Saqlain Haider (UAE)","2016-2016","6","5","1","14","7","3.50","35","40.00","0","0","0","0","0",""
"679","VS Wategaonkar (OMAN)","2016-2016","2","1","0","14","14","14.00","14","100.00","0","0","0","1","0",""
"680","CM Wright (SCOT)","2007-2009","3","1","0","14","14","14.00","18","77.77","0","0","0","0","0",""
"681","AR Adams (NZ)","2005-2006","4","2","1","13","7","13.00","12","108.33","0","0","0","1","0",""
"682","TA Boult (NZ)","2013-2017","17","5","1","13","5","3.25","23","56.52","0","0","1","0","0",""
"683","J Edness (BMUDA)","2008-2008","3","3","0","13","9","4.33","28","46.42","0","0","1","0","0",""
"684","CR Foggo (BMUDA)","2008-2008","3","3","0","13","7","4.33","17","76.47","0","0","1","2","0",""
"685","SP Gauchan (NEPAL)","2014-2015","9","5","2","13","6*","4.33","43","30.23","0","0","2","0","0",""
"686","PA Hitchcock (NZ)","2008-2008","1","1","0","13","13","13.00","11","118.18","0","0","0","1","1",""
"687","SHT Kandamby (SL)","2008-2011","5","4","0","13","10","3.25","21","61.90","0","0","1","0","0",""
"688","SKW Kelly (BMUDA)","2008-2008","3","2","2","13","11*","-","24","54.16","0","0","0","0","0",""
"689","Z Khan (INDIA)","2006-2012","17","4","2","13","9","6.50","10","130.00","0","0","0","0","1",""
"690","Mohammad Rafique (BDESH)","2006-2006","1","1","0","13","13","13.00","5","260.00","0","0","0","3","0",""
"691","CB Mpofu (ZIM)","2008-2015","20","5","3","13","6*","6.50","12","108.33","0","0","2","0","1",""
"692","CMW Read (ENG)","2006-2006","1","1","0","13","13","13.00","11","118.18","0","0","0","2","0",""
"693","Sufyan Mehmood (OMAN)","2015-2016","2","1","1","13","13*","-","32","40.62","0","0","0","2","0",""
"694","Usman Mushtaq (UAE)","2016-2016","3","2","1","13","9","13.00","24","54.16","0","0","0","1","0",""
"695","J Anderson (IRE)","2015-2015","4","2","0","12","9","6.00","18","66.66","0","0","0","1","0",""
"696","HMCM Bandara (SL)","2006-2009","4","3","1","12","7","6.00","15","80.00","0","0","0","0","0",""
"697","HJH Marshall (NZ)","2005-2006","3","3","0","12","8","4.00","14","85.71","0","0","0","0","0",""
"698","NV Ojha (INDIA)","2010-2010","2","2","0","12","10","6.00","27","44.44","0","0","0","2","0",""
"699","KOA Powell (WI)","2014-2014","1","1","0","12","12","12.00","14","85.71","0","0","0","1","0",""
"700","R Rampaul (WI)","2007-2015","23","6","5","12","8","12.00","21","57.14","0","0","0","0","0",""
"701","MA Starc (AUS)","2012-2016","22","6","2","12","4","3.00","18","66.66","0","0","0","0","0",""
"702","Fayyaz Ahmed (UAE)","2015-2015","1","1","0","11","11","11.00","12","91.66","0","0","0","2","0",""
"703","AJ Hall (SA)","2006-2006","2","1","0","11","11","11.00","10","110.00","0","0","0","1","0",""
"704","Inzamam-ul-Haq (PAK)","2006-2006","1","1","1","11","11*","-","15","73.33","0","0","0","0","1",""
"705","Khurram Manzoor (PAK)","2016-2016","3","3","0","11","10","3.66","27","40.74","0","0","1","1","0",""
"706","KS Lokuarachchi (SL)","2012-2012","2","2","0","11","11","5.50","13","84.61","0","0","1","1","0",""
"707","WK McCallan (IRE)","2008-2009","9","3","2","11","9*","11.00","15","73.33","0","0","1","1","0",""
"708","AK Mandal (NEPAL)","2015-2015","2","2","0","11","9","5.50","25","44.00","0","0","0","0","0",""
"709","AA Mulla (CAN)","2008-2008","4","4","0","11","8","2.75","19","57.89","0","0","1","2","0",""
"710","V Shetty (UAE)","2014-2014","2","2","1","11","10","11.00","13","84.61","0","0","0","1","0",""
"711","IS Sodhi (NZ)","2014-2017","15","2","2","11","11*","-","9","122.22","0","0","0","2","0",""
"712","SW Tait (AUS)","2007-2016","21","6","2","11","6","2.75","15","73.33","0","0","1","0","1",""
"713","RM West (IRE)","2009-2009","5","4","1","11","8","3.66","11","100.00","0","0","0","1","0",""
"714","Yasir Shah (PAK)","2011-2011","2","1","1","11","11*","-","7","157.14","0","0","0","1","0",""
"715","A Zampa (AUS)","2016-2017","12","3","3","11","5*","-","9","122.22","0","0","0","1","0",""
"716","CS Baugh (WI)","2008-2012","3","3","0","10","7","3.33","12","83.33","0","0","0","1","0",""
"717","FH Edwards (WI)","2007-2012","20","4","2","10","7*","5.00","9","111.11","0","0","1","1","0",""
"718","MJ Henry (NZ)","2014-2017","6","2","1","10","10","10.00","5","200.00","0","0","0","2","0",""
"719","S Jyoti (CAN)","2008-2008","2","2","1","10","10*","10.00","20","50.00","0","0","1","0","0",""
"720","RWT Key (ENG)","2009-2009","1","1","1","10","10*","-","8","125.00","0","0","0","0","0",""
"721","M Ntini (SA)","2005-2011","10","4","2","10","5","5.00","11","90.90","0","0","1","2","0",""
"722","PP Ojha (INDIA)","2009-2010","6","1","1","10","10*","-","6","166.66","0","0","0","0","1",""
"723","BA Parchment (WI)","2007-2007","1","1","0","10","10","10.00","6","166.66","0","0","0","1","1",""
"724","N Pokana (PNG)","2016-2016","3","2","1","10","8*","10.00","17","58.82","0","0","0","0","0",""
"725","P Raho (PNG)","2016-2016","2","2","2","10","8*","-","6","166.66","0","0","0","0","1",""
"726","ACL Richards (WI)","2007-2007","1","1","0","10","10","10.00","15","66.66","0","0","0","1","0",""
"727","MP Stoinis (AUS)","2015-2017","2","1","1","10","10*","-","8","125.00","0","0","0","1","0",""
"728","ZE Surkari (CAN)","2008-2008","4","3","0","10","6","3.33","33","30.30","0","0","1","0","0",""
"729","SR Tendulkar (INDIA)","2006-2006","1","1","0","10","10","10.00","12","83.33","0","0","0","2","0",""
"730","RJ Trott (BMUDA)","2008-2008","3","3","1","10","8","5.00","24","41.66","0","0","1","0","0",""
"731","Abul Hasan (BDESH)","2012-2012","4","1","0","9","9","9.00","8","112.50","0","0","0","1","0",""
"732","Afsar Zazai (AFG)","2013-2013","1","1","0","9","9","9.00","21","42.85","0","0","0","0","0",""
"733","AC Agar (AUS)","2016-2016","2","1","0","9","9","9.00","8","112.50","0","0","0","0","1",""
"734","JJ Celestine (BMUDA)","2008-2008","3","3","0","9","7","3.00","17","52.94","0","0","1","0","0",""
"735","FRJ Coleman (SCOT)","2013-2013","1","1","0","9","9","9.00","13","69.23","0","0","0","1","0",""
"736","Elias Sunny (BDESH)","2012-2012","7","4","2","9","5","4.50","9","100.00","0","0","0","1","0",""
"737","KM Jarvis (ZIM)","2011-2013","9","5","2","9","9*","3.00","17","52.94","0","0","3","0","0",""
"738","R McLaren (SA)","2009-2014","12","4","3","9","6*","9.00","13","69.23","0","0","0","0","0",""
"739","Mohammad Asif (PAK)","2006-2010","11","3","3","9","5*","-","3","300.00","0","0","0","2","0",""
"740","JS Patel (NZ)","2005-2008","11","4","1","9","5","3.00","14","64.28","0","0","1","1","0",""
"741","WKD Perkins (WI)","2008-2008","1","1","0","9","9","9.00","11","81.81","0","0","0","1","0",""
"742","A Poulose (OMAN)","2017-2017","3","3","0","9","9","3.00","14","64.28","0","0","2","2","0",""
"743","KW Richardson (AUS)","2014-2016","3","1","0","9","9","9.00","7","128.57","0","0","0","0","0",""
"744","IH Romaine (BMUDA)","2008-2008","2","2","0","9","8","4.50","20","45.00","0","0","0","0","0",""
"745","Sikander Zulfiqar (NL)","2016-2016","2","1","1","9","9*","-","12","75.00","0","0","0","0","0",""
"746","TP Visee (NL)","2015-2017","4","4","0","9","5","2.25","17","52.94","0","0","2","1","0",""
"747","AM Blignaut (ZIM)","2010-2010","1","1","0","8","8","8.00","8","100.00","0","0","0","1","0",""
"748","GH Bodi (SA)","2007-2007","1","1","0","8","8","8.00","25","32.00","0","0","0","0","0",""
"749","JJ Bumrah (INDIA)","2016-2017","30","6","4","8","7","4.00","13","61.53","0","0","1","1","0",""
"750","TL Chatara (ZIM)","2010-2016","11","1","0","8","8","8.00","7","114.28","0","0","0","1","0",""
"751","AS Dean (CAN)","2008-2013","2","2","0","8","7","4.00","10","80.00","0","0","0","0","0",""
"752","B Fernando (SL)","2015-2015","2","1","1","8","8*","-","12","66.66","0","0","0","1","0",""
"753","HMRKB Herath (SL)","2011-2016","17","6","3","8","3","2.66","12","66.66","0","0","0","0","0",""
"754","S Randiv (SL)","2010-2011","7","2","0","8","6","4.00","6","133.33","0","0","0","1","0",""
"755","BAW Mendis (SL)","2008-2014","39","8","5","8","4*","2.66","17","47.05","0","0","0","1","0",""
"756","Mustafizur Rahman (BDESH)","2015-2017","17","6","2","8","6","2.00","15","53.33","0","0","2","0","1",""
"757","Shahadat Hossain (BDESH)","2006-2013","6","5","3","8","4*","4.00","12","66.66","0","0","1","0","0",""
"758","I Sharma (INDIA)","2008-2013","14","3","2","8","5*","8.00","9","88.88","0","0","1","1","0",""
"759","BV Vitori (ZIM)","2012-2016","11","2","2","8","7*","-","7","114.28","0","0","0","0","0",""
"760","Adnan Mufti (UAE)","2017-2017","1","1","1","7","7*","-","7","100.00","0","0","0","0","0",""
"761","Al-Amin Hossain (BDESH)","2013-2016","25","5","3","7","5*","3.50","12","58.33","0","0","1","1","0",""
"762","RP Arnold (SL)","2006-2006","1","1","0","7","7","7.00","7","100.00","0","0","0","0","0",""
"763","NB Budayair (NEPAL)","2014-2014","4","3","1","7","5","3.50","19","36.84","0","0","1","0","0",""
