"","Player","Span","Mat","Inns","Overs","Mdns","Runs","Wkts","BBI","Ave","Econ","SR","4","5",""
"108","Abdul Razzaq (PAK)","2006-2013","32","22","56.3","2","395","20","3/13","19.75","6.99","16.9","0","0",""
"109","JEC Franklin (NZ)","2006-2013","38","26","54.3","0","417","20","4/15","20.85","7.65","16.3","1","0",""
"110","CH Morris (SA)","2012-2017","14","14","51.0","1","405","20","4/27","20.25","7.94","15.3","1","0",""
"111","T Panyangara (ZIM)","2013-2016","14","14","50.3","1","398","20","4/37","19.90","7.88","15.1","1","0",""
"112","AM Phangiso (SA)","2012-2017","15","15","55.0","0","430","20","3/25","21.50","7.81","16.5","0","0",""
"113","DJ Willey (ENG)","2015-2017","16","16","53.2","0","448","20","3/20","22.40","8.40","16.0","0","0",""
"114","NW Bracken (AUS)","2006-2009","19","19","62.5","2","438","19","3/11","23.05","6.97","19.8","0","0",""
"115","JP Duminy (SA)","2007-2017","73","37","70.1","0","544","19","3/18","28.63","7.75","22.1","0","0",""
"116","DJ Hussey (AUS)","2008-2012","39","25","60.1","1","392","19","3/25","20.63","6.51","19.0","0","0",""
"117","ST Jayasuriya (SL)","2006-2011","31","24","61.5","0","456","19","3/21","24.00","7.37","19.5","0","0",""
"118","JDP Oram (NZ)","2005-2012","36","32","91.0","0","793","19","3/33","41.73","8.71","28.7","0","0",""
"119","LE Plunkett (ENG)","2006-2017","14","14","51.5","1","383","19","3/21","20.15","7.38","16.3","0","0",""
"120","AU Rashid (ENG)","2009-2017","24","22","73.0","1","572","19","3/25","30.10","7.83","23.0","0","0",""
"121","Rohan Mustafa (UAE)","2014-2017","24","22","60.4","2","436","19","3/9","22.94","7.18","19.1","0","0",""
"122","Shoaib Akhtar (PAK)","2006-2010","15","15","53.0","3","432","19","3/38","22.73","8.15","16.7","0","0",""
"123","Tanwir Afzal (HKG)","2014-2016","21","21","71.0","2","509","19","2/8","26.78","7.16","22.4","0","0",""
"124","MRJ Watt (SCOT)","2015-2017","18","16","59.0","1","439","19","5/27","23.10","7.44","18.6","0","1",""
"125","KOK Williams (WI)","2016-2017","10","10","35.3","2","234","19","3/11","12.31","6.59","11.2","0","0",""
"126","JM Anderson (ENG)","2007-2009","19","19","70.2","1","552","18","3/23","30.66","7.84","23.4","0","0",""
"127","SJ Benn (WI)","2008-2016","24","24","84.0","3","606","18","4/6","33.66","7.21","28.0","1","0",""
"128","PW Borren (NL)","2008-2017","43","30","87.4","0","603","18","2/19","33.50","6.87","29.2","0","0",""
"129","CR Brathwaite (WI)","2011-2017","22","21","61.0","0","504","18","3/20","28.00","8.26","20.3","0","0",""
"130","YS Chahal (INDIA)","2016-2017","12","12","45.3","1","339","18","6/25","18.83","7.45","15.1","0","1",""
"131","CRD Fernando (SL)","2006-2016","18","18","63.0","3","464","18","3/19","25.77","7.36","21.0","0","0",""
"132","Hasan Ali (PAK)","2016-2017","12","12","44.3","2","362","18","3/23","20.11","8.13","14.8","0","0",""
"133","HMRKB Herath (SL)","2011-2016","17","17","60.5","3","373","18","5/3","20.72","6.13","20.2","0","1",""
"134","K Santokie (WI)","2011-2014","12","12","40.5","0","278","18","4/21","15.44","6.80","13.6","1","0",""
