"","Player","Span","Mat","Inns","Overs","Mdns","Runs","Wkts","BBI","Ave","Econ","SR","4","5",""
"467","RM West (IRE)","2009-2009","5","5","19.0","0","142","3","1/23","47.33","7.47","38.0","0","0",""
"468","Younis Khan (PAK)","2006-2010","25","1","3.4","0","18","3","3/18","6.00","4.90","7.3","0","0",""
"469","Zahid Hussain (CAN)","2012-2012","3","3","9.3","0","47","3","3/16","15.66","4.94","19.0","0","0",""
"470","Zahoor Khan (UAE)","2017-2017","3","3","10.0","0","70","3","2/27","23.33","7.00","20.0","0","0",""
"471","Ziaur Rahman (BDESH)","2012-2014","14","7","12.3","0","127","3","1/16","42.33","10.16","25.0","0","0",""
"472","YA Abdulla (SA)","2009-2009","2","2","7.0","0","44","2","1/16","22.00","6.28","21.0","0","0",""
"473","Abul Hasan (BDESH)","2012-2012","4","4","11.0","0","108","2","2/33","54.00","9.81","33.0","0","0",""
"474","Alok Kapali (BDESH)","2007-2011","7","2","5.0","0","35","2","2/12","17.50","7.00","15.0","0","0",""
"475","LS Baker (WI)","2008-2009","3","3","8.0","0","58","2","1/12","29.00","7.25","24.0","0","0",""
"476","RJ Campbell (HKG)","2016-2016","3","3","10.0","0","68","2","2/28","34.00","6.80","30.0","0","0",""
"477","KM Dabengwa (ZIM)","2006-2010","8","7","11.0","0","106","2","1/1","53.00","9.63","33.0","0","0",""
"478","JWM Dalrymple (ENG)","2006-2007","3","3","5.0","0","39","2","1/10","19.50","7.80","15.0","0","0",""
"479","Dawlat Ahmadzai (AFG)","2010-2010","2","2","4.0","0","46","2","1/21","23.00","11.50","12.0","0","0",""
"480","AS Dean (CAN)","2008-2013","2","2","4.0","0","32","2","2/18","16.00","8.00","12.0","0","0",""
"481","AP Devcich (NZ)","2013-2014","4","4","12.0","0","80","2","2/16","40.00","6.66","36.0","0","0",""
"482","LHD Dilhara (SL)","2008-2008","2","2","5.0","0","30","2","2/6","15.00","6.00","15.0","0","0",""
"483","Ehsan Nawaz (HKG)","2014-2017","5","5","7.4","0","79","2","1/22","39.50","10.30","23.0","0","0",""
"484","AM Ellis (NZ)","2012-2013","5","4","10.0","0","105","2","2/40","52.50","10.50","30.0","0","0",""
"485","B Geeves (AUS)","2009-2009","1","1","3.2","0","35","2","2/35","17.50","10.50","10.0","0","0",""
"486","JOA Gordon (CAN)","2013-2013","2","2","7.0","0","62","2","2/30","31.00","8.85","21.0","0","0",""
"487","NM Hauritz (AUS)","2009-2009","3","2","7.2","0","47","2","1/20","23.50","6.40","22.0","0","0",""
"488","PA Hitchcock (NZ)","2008-2008","1","1","3.0","0","43","2","2/43","21.50","14.33","9.0","0","0",""
"489","Imran Khan (1) (PAK)","2015-2015","3","3","12.0","0","106","2","2/35","53.00","8.83","36.0","0","0",""
"490","MM Iqbal (SCOT)","2012-2013","6","3","8.0","0","59","2","2/15","29.50","7.37","24.0","0","0",""
"491","Jubair Hossain (BDESH)","2015-2015","1","1","2.0","0","20","2","2/20","10.00","10.00","6.0","0","0",""
"492","Kamran Shazad (UAE)","2014-2014","3","3","8.4","0","77","2","2/19","38.50","8.88","26.0","0","0",""
"493","P Khadka (NEPAL)","2014-2015","11","11","28.0","1","170","2","1/3","85.00","6.07","84.0","0","0",""
"494","A Khan (ENG)","2009-2009","1","1","4.0","0","34","2","2/34","17.00","8.50","12.0","0","0",""
"495","B Laughlin (AUS)","2009-2013","3","3","11.5","0","118","2","1/32","59.00","9.97","35.5","0","0",""
"496","KS Lokuarachchi (SL)","2012-2012","2","2","6.0","0","48","2","2/31","24.00","8.00","18.0","0","0",""
"497","J Louw (SA)","2008-2009","2","2","7.0","0","54","2","2/36","27.00","7.71","21.0","0","0",""
"498","AJ McKay (NZ)","2010-2010","2","2","5.4","0","31","2","2/20","15.50","5.47","17.0","0","0",""
"499","CS MacLeod (SCOT)","2009-2017","28","6","13.0","0","111","2","2/17","55.50","8.53","39.0","0","0",""
"500","GI Maiden (SCOT)","2008-2008","3","3","10.0","0","58","2","1/20","29.00","5.80","30.0","0","0",""
"501","GT Main (SCOT)","2015-2016","4","2","4.0","0","34","2","1/13","17.00","8.50","12.0","0","0",""
"502","H Masakadza (ZIM)","2006-2016","50","9","12.0","0","113","2","1/4","56.50","9.41","36.0","0","0",""
"503","MJ Mason (NZ)","2006-2008","3","3","9.0","0","65","2","1/18","32.50","7.22","27.0","0","0",""
"504","SC Meaker (ENG)","2012-2012","2","2","7.5","0","70","2","1/28","35.00","8.93","23.5","0","0",""
"505","Mehidy Hasan Miraz (BDESH)","2017-2017","3","3","10.0","0","92","2","2/31","46.00","9.20","30.0","0","0",""
"506","Mosaddek Hossain (BDESH)","2016-2017","6","5","10.4","0","75","2","1/22","37.50","7.03","32.0","0","0",""
"507","CT Mutombodzi (ZIM)","2013-2016","5","3","10.0","0","81","2","2/28","40.50","8.10","30.0","0","0",""
"508","M Nasim Baras (AFG)","2015-2015","3","3","8.0","0","56","2","1/11","28.00","7.00","24.0","0","0",""
"509","A Nel (SA)","2005-2007","2","2","8.0","0","42","2","2/19","21.00","5.25","24.0","0","0",""
"510","MP O'Dowd (NL)","2015-2017","8","4","6.4","0","43","2","1/7","21.50","6.45","20.0","0","0",""
"511","MS Panesar (ENG)","2007-2007","1","1","4.0","0","40","2","2/40","20.00","10.00","12.0","0","0",""
"512","H Patel (CAN)","2010-2013","11","5","9.5","0","83","2","2/23","41.50","8.44","29.5","0","0",""
"513","N Pokana (PNG)","2016-2016","3","3","5.0","0","30","2","1/5","15.00","6.00","15.0","0","0",""
"514","DBL Powell (WI)","2007-2007","5","5","17.0","0","131","2","1/6","65.50","7.70","51.0","0","0",""
"515","Raza-ur-Rehman (CAN)","2012-2013","5","3","9.0","0","58","2","2/16","29.00","6.44","27.0","0","0",""
"516","AJ Redmond (NZ)","2009-2010","7","1","2.5","0","24","2","2/24","12.00","8.47","8.5","0","0",""
"517","JA Richardson (AUS)","2017-2017","2","2","6.0","0","62","2","1/24","31.00","10.33","18.0","0","0",""
"518","GA Rogers (SCOT)","2008-2009","2","2","7.5","0","67","2","2/15","33.50","8.55","23.5","0","0",""
"519","IH Romaine (BMUDA)","2008-2008","2","2","3.4","0","21","2","2/2","10.50","5.72","11.0","0","0",""
"520","JD Ryder (NZ)","2008-2014","22","5","10.0","0","68","2","1/2","34.00","6.80","30.0","0","0",""
"521","RR Sarwan (WI)","2007-2010","18","1","2.0","0","10","2","2/10","5.00","5.00","6.0","0","0",""
"522","Sharif Asadullah (UAE)","2014-2014","1","1","3.0","0","21","2","2/21","10.50","7.00","9.0","0","0",""
"523","Shuvagata Hom (BDESH)","2016-2016","5","4","11.0","0","71","2","1/18","35.50","6.45","33.0","0","0",""
"524","EHSN Silva (UAE)","2014-2014","2","2","7.0","0","58","2","1/20","29.00","8.28","21.0","0","0",""
"525","R Telemachus (SA)","2006-2007","3","3","12.0","0","90","2","1/22","45.00","7.50","36.0","0","0",""
"526","S Thuraisingam (CAN)","2008-2008","3","3","7.5","0","44","2","1/13","22.00","5.61","23.5","0","0",""
"527","CT Tremlett (ENG)","2007-2007","1","1","4.0","0","45","2","2/45","22.50","11.25","12.0","0","0",""
"528","AC Voges (AUS)","2007-2013","7","1","2.0","0","5","2","2/5","2.50","2.50","6.0","0","0",""
"529","SR Welsh (CAN)","2008-2008","1","1","3.0","0","6","2","2/6","3.00","2.00","9.0","0","0",""
"530","AR White (IRE)","2008-2012","18","1","4.0","0","18","2","2/18","9.00","4.50","12.0","0","0",""
"531","G Wijekoon (SL)","2007-2007","3","3","11.0","0","101","2","1/12","50.50","9.18","33.0","0","0",""
"532","Aamer Yamin (PAK)","2015-2015","1","1","2.0","0","12","1","1/12","12.00","6.00","12.0","0","0",""
"533","SA Abbott (AUS)","2014-2014","3","3","6.0","0","47","1","1/17","47.00","7.83","36.0","0","0",""
"534","AC Agar (AUS)","2016-2016","2","2","3.0","0","43","1","1/25","43.00","14.33","18.0","0","0",""
"535","GW Aldridge (NZ)","2011-2011","1","1","4.0","0","45","1","1/45","45.00","11.25","24.0","0","0",""
"536","Amir Ali (OMAN)","2015-2016","10","5","9.0","0","67","1","1/6","67.00","7.44","54.0","0","0",""
"537","S Aravind (INDIA)","2015-2015","1","1","3.4","0","44","1","1/44","44.00","12.00","22.0","0","0",""
"538","Asghar Stanikzai (AFG)","2010-2017","49","1","0.4","0","4","1","1/4","4.00","6.00","4.0","0","0",""
"539","CD Barnwell (WI)","2011-2013","6","4","6.0","0","51","1","1/24","51.00","8.50","36.0","0","0",""
"540","A Bhattarai (NEPAL)","2014-2014","1","1","3.0","0","12","1","1/12","12.00","4.00","18.0","0","0",""
"541","STR Binny (INDIA)","2015-2016","3","3","5.0","0","54","1","1/14","54.00","10.80","30.0","0","0",""
"542","N Boje (SA)","2005-2005","1","1","4.0","0","27","1","1/27","27.00","6.75","24.0","0","0",""
"543","SG Borthwick (ENG)","2011-2011","1","1","4.0","0","15","1","1/15","15.00","3.75","24.0","0","0",""
"544","CL Cairns (NZ)","2005-2006","2","2","8.0","0","52","1","1/28","52.00","6.50","48.0","0","0",""
"545","MS Crane (ENG)","2017-2017","2","2","8.0","0","62","1","1/38","62.00","7.75","48.0","0","0",""
"546","H Davids (SA)","2012-2013","9","2","2.0","0","13","1","1/6","13.00","6.50","12.0","0","0",""
"547","JL Denly (ENG)","2009-2010","5","1","1.0","0","9","1","1/9","9.00","9.00","6.0","0","0",""
"548","PA Desai (CAN)","2012-2012","1","1","3.0","0","30","1","1/30","30.00","10.00","18.0","0","0",""
"549","DM de Silva (SL)","2015-2017","7","3","4.0","0","23","1","1/3","23.00","5.75","24.0","0","0",""
"550","R Dhawan (INDIA)","2016-2016","1","1","4.0","0","42","1","1/42","42.00","10.50","24.0","0","0",""
"551","Fayyaz Ahmed (UAE)","2015-2015","1","1","3.0","0","29","1","1/29","29.00","9.66","18.0","0","0",""
"552","JN Gillespie (AUS)","2005-2005","1","1","4.0","0","49","1","1/49","49.00","12.25","24.0","0","0",""
"553","SJ Harmison (ENG)","2005-2006","2","2","6.3","0","42","1","1/13","42.00","6.46","39.0","0","0",""
"554","TM Head (AUS)","2016-2017","9","2","3.0","0","25","1","1/16","25.00","8.33","18.0","0","0",""
"555","BJ Hodge (AUS)","2007-2014","15","3","5.0","0","43","1","1/13","43.00","8.60","30.0","0","0",""
"556","Iftikhar Anjum (PAK)","2007-2009","2","2","8.0","0","67","1","1/34","67.00","8.37","48.0","0","0",""
"557","AJ Ireland (ZIM)","2006-2006","1","1","3.0","0","33","1","1/33","33.00","11.00","18.0","0","0",""
"558","A Karn (NEPAL)","2015-2015","2","2","8.0","0","49","1","1/31","49.00","6.12","48.0","0","0",""
"559","Khurram Chohan (CAN)","2010-2010","4","4","12.1","0","106","1","1/24","106.00","8.71","73.0","0","0",""
"560","Khurram Khan (UAE)","2014-2014","3","1","1.0","0","8","1","1/8","8.00","8.00","6.0","0","0",""
"561","VJ Kingma (NL)","2016-2016","1","1","4.0","0","32","1","1/32","32.00","8.00","24.0","0","0",""
"562","RT Lyons (SCOT)","2010-2010","2","2","6.0","0","40","1","1/26","40.00","6.66","36.0","0","0",""
"563","A Martin (WI)","2011-2011","1","1","3.0","0","20","1","1/20","20.00","6.66","18.0","0","0",""
"564","T Maruma (ZIM)","2008-2016","10","2","3.0","0","20","1","1/8","20.00","6.66","18.0","0","0",""
"565","Mohammad Rafique (BDESH)","2006-2006","1","1","4.0","0","22","1","1/22","22.00","5.50","24.0","0","0",""
"566","Mohammad Shahid (BDESH)","2016-2016","1","1","3.0","0","32","1","1/32","32.00","10.66","18.0","0","0",""
"567","Mohammed Siraj (INDIA)","2017-2017","1","1","4.0","0","53","1","1/53","53.00","13.25","24.0","0","0",""
"568","J Mubarak (SL)","2007-2009","16","2","1.2","0","17","1","1/9","17.00","12.75","8.0","0","0",""
"569","EMDY Munaweera (SL)","2012-2017","13","5","10.0","0","92","1","1/26","92.00","9.20","60.0","0","0",""
"570","C Munro (NZ)","2012-2017","35","5","8.0","0","78","1","1/23","78.00","9.75","48.0","0","0",""
"571","T Mupariwa (ZIM)","2007-2008","4","4","13.0","0","94","1","1/22","94.00","7.23","78.0","0","0",""
"572","Najeeb Amar (HKG)","2014-2014","1","1","3.0","0","29","1","1/29","29.00","9.66","18.0","0","0",""
"573","Nazmul Hossain (BDESH)","2009-2012","4","4","7.0","0","67","1","1/15","67.00","9.57","42.0","0","0",""
"574","P Negi (INDIA)","2016-2016","1","1","3.0","0","16","1","1/16","16.00","5.33","18.0","0","0",""
"575","L Nou (PNG)","2015-2015","3","3","10.0","0","65","1","1/24","65.00","6.50","60.0","0","0",""
"576","AR Nurse (WI)","2011-2017","5","5","16.0","0","125","1","1/23","125.00","7.81","96.0","0","0",""
"577","JL Ontong (SA)","2008-2015","14","4","6.0","0","83","1","1/25","83.00","13.83","36.0","0","0",""
"578","MA Parker (SCOT)","2012-2012","2","2","6.0","0","61","1","1/36","61.00","10.16","36.0","0","0",""
"579","Parvez Rasool (INDIA)","2017-2017","1","1","4.0","0","32","1","1/32","32.00","8.00","24.0","0","0",""
"580","RR Patel (KENYA)","2008-2013","22","3","3.0","0","26","1","1/13","26.00","8.66","18.0","0","0",""
"581","KP Pietersen (ENG)","2005-2013","37","3","5.0","0","53","1","1/27","53.00","10.60","30.0","0","0",""
"582","R Powell (WI)","2017-2017","7","1","3.0","0","20","1","1/20","20.00","6.66","18.0","0","0",""
"583","D Pretorius (SA)","2017-2017","2","2","5.0","0","47","1","1/27","47.00","9.40","30.0","0","0",""
"584","M Pushpakumara (SL)","2009-2009","1","1","3.0","0","27","1","1/27","27.00","9.00","18.0","0","0",""
"585","RLB Rambukwella (SL)","2013-2016","2","2","6.3","0","46","1","1/19","46.00","7.07","39.0","0","0",""
"586","KW Richardson (AUS)","2014-2016","3","3","10.0","0","82","1","1/13","82.00","8.20","60.0","0","0",""
"587","AM Samad (CAN)","2008-2010","7","1","2.0","0","36","1","1/36","36.00","18.00","12.0","0","0",""
"588","Sandeep Sharma (INDIA)","2015-2015","2","2","7.0","0","73","1","1/39","73.00","10.42","42.0","0","0",""
"589","KV Sharma (INDIA)","2014-2014","1","1","4.0","0","28","1","1/28","28.00","7.00","24.0","0","0",""
"590","RG Sharma (INDIA)","2007-2017","68","9","11.2","0","113","1","1/22","113.00","9.97","68.0","0","0",""
"591","LPC Silva (SL)","2006-2011","16","2","3.0","0","15","1","1/4","15.00","5.00","18.0","0","0",""
"592","JT Smuts (SA)","2017-2017","6","4","8.4","0","72","1","1/19","72.00","8.30","52.0","0","0",""
"593","MP Stoinis (AUS)","2015-2017","2","2","5.0","0","33","1","1/20","33.00","6.60","30.0","0","0",""
"594","Sufyan Mehmood (OMAN)","2015-2016","2","2","4.3","0","30","1","1/22","30.00","6.66","27.0","0","0",""
"595","Sultan Ahmed (UAE)","2017-2017","2","2","6.0","1","38","1","1/12","38.00","6.33","36.0","0","0",""
"596","Tanvir Ahmed (PAK)","2010-2010","1","1","3.0","0","13","1","1/13","13.00","4.33","18.0","0","0",""
"597","BRM Taylor (ZIM)","2006-2014","26","2","5.0","0","17","1","1/16","17.00","3.40","30.0","0","0",""
"598","SR Tendulkar (INDIA)","2006-2006","1","1","2.3","0","12","1","1/12","12.00","4.80","15.0","0","0",""
"599","EP Thompson (NZ)","2008-2008","1","1","3.0","1","18","1","1/18","18.00","6.00","18.0","0","0",""
"600","GC Tonge (WI)","2009-2009","1","1","4.0","0","25","1","1/25","25.00","6.25","24.0","0","0",""
"601","Umair Ali (UAE)","2015-2015","3","2","4.0","0","28","1","1/13","28.00","7.00","24.0","0","0",""
"602","DLS van Bunge (NL)","2008-2013","14","2","2.2","0","15","1","1/14","15.00","6.42","14.0","0","0",""
"603","UWMBCA Welegedara (SL)","2010-2010","2","2","6.0","0","61","1","1/21","61.00","10.16","36.0","0","0",""
"604","CL White (AUS)","2007-2014","47","5","7.0","0","51","1","1/11","51.00","7.28","42.0","0","0",""
"605","LJ Woodcock (NZ)","2010-2011","3","3","10.0","0","70","1","1/30","70.00","7.00","60.0","0","0",""
"606","GH Worker (NZ)","2015-2015","2","1","2.0","0","19","1","1/19","19.00","9.50","12.0","0","0",""
"607","UT Yadav (INDIA)","2012-2012","1","1","3.0","0","24","1","1/24","24.00","8.00","18.0","0","0",""
"608","Zaheer Maqsood (UAE)","2015-2016","3","3","9.0","0","80","1","1/29","80.00","8.88","54.0","0","0",""
"609","Zamir Khan (AFG)","2012-2012","1","1","4.0","0","26","1","1/26","26.00","6.50","24.0","0","0",""
"610","C Zhuwao (ZIM)","2008-2011","5","1","0.2","0","1","1","1/1","1.00","3.00","2.0","0","0",""
"611","M Zondeki (SA)","2006-2006","1","1","3.0","0","41","1","1/41","41.00","13.66","18.0","0","0",""
"612","Abdur Rauf (PAK)","2008-2008","1","1","3.0","0","21","0","-","-","7.00","-","0","0",""
"613","Aftab Ahmed (BDESH)","2006-2010","11","1","0.2","0","8","0","-","-","24.00","-","0","0",""
"614","Ahmed Shehzad (PAK)","2009-2017","53","1","1.0","0","10","0","-","-","10.00","-","0","0",""
"615","J Anderson (IRE)","2015-2015","4","1","1.0","0","13","0","-","-","13.00","-","0","0",""
"616","Arsalan Qadir (CAN)","2010-2010","1","1","1.0","0","12","0","-","-","12.00","-","0","0",""
"617","Asad Ali (PAK)","2013-2013","2","2","4.0","0","33","0","-","-","8.25","-","0","0",""
"618","TD Astle (NZ)","2016-2016","2","2","4.0","0","41","0","-","-","10.25","-","0","0",""
"619","Atif Ali Khan (UAE)","2016-2016","1","1","4.0","0","43","0","-","-","10.75","-","0","0",""
"620","P Awana (INDIA)","2012-2012","2","2","6.0","0","71","0","-","-","11.83","-","0","0",""
"621","KMC Bandara (SL)","2016-2016","1","1","1.0","0","11","0","-","-","11.00","-","0","0",""
"622","GEF Barnett (CAN)","2008-2010","5","1","1.0","0","11","0","-","-","11.00","-","0","0",""
"623","GJ Batty (ENG)","2009-2009","1","1","3.0","0","17","0","-","-","5.66","-","0","0",""
"624","S Bau (PNG)","2016-2017","6","2","2.0","0","18","0","-","-","9.00","-","0","0",""
"625","DE Bernard (WI)","2009-2009","1","1","4.0","0","17","0","-","-","4.25","-","0","0",""
"626","RL Bhudia (KENYA)","2007-2007","3","3","7.2","0","78","0","-","-","10.63","-","0","0",""
"627","NE Bonner (WI)","2011-2012","2","1","2.0","0","18","0","-","-","9.00","-","0","0",""
"628","IDR Bradshaw (WI)","2006-2006","1","1","4.0","0","22","0","-","-","5.50","-","0","0",""
"629","DR Brown (SCOT)","2007-2007","2","1","4.0","0","44","0","-","-","11.00","-","0","0",""
"630","DK Butler (WI)","2006-2006","1","1","3.0","0","22","0","-","-","7.33","-","0","0",""
"631","N Deonarine (WI)","2010-2013","8","4","9.0","0","87","0","-","-","9.66","-","0","0",""
"632","PC de Silva (SL)","2017-2017","1","1","1.0","0","14","0","-","-","14.00","-","0","0",""
"633","ST de Silva (SL)","2017-2017","3","1","1.0","0","10","0","-","-","10.00","-","0","0",""
"634","BJ Diamanti (NZ)","2009-2009","1","1","2.0","0","19","0","-","-","9.50","-","0","0",""
"635","F du Plessis (SA/World)","2012-2017","39","2","1.2","0","3","0","-","-","2.25","-","0","0",""
"636","PS Eaglestone (IRE)","2010-2010","1","1","2.0","0","16","0","-","-","8.00","-","0","0",""
"637","Fahad Tariq (UAE)","2016-2016","6","2","3.0","0","26","0","-","-","8.66","-","0","0",""
"638","N Pradeep (SL)","2016-2017","2","2","4.0","0","37","0","-","-","9.25","-","0","0",""
"639","AJ Finch (AUS)","2011-2017","33","2","2.0","0","27","0","-","-","13.50","-","0","0",""
"640","DR Flynn (NZ)","2008-2012","5","1","1.0","0","7","0","-","-","7.00","-","0","0",""
"641","MD Gunathilaka (SL)","2016-2017","8","2","3.0","0","25","0","-","-","8.33","-","0","0",""
"642","MJ Guptill (NZ)","2009-2017","64","1","1.0","0","11","0","-","-","11.00","-","0","0",""
"643","T Henderson (SA)","2006-2006","1","1","4.0","0","31","0","-","-","7.75","-","0","0",""
"644","H Hiri (PNG)","2016-2016","2","1","1.0","0","5","0","-","-","5.00","-","0","0",""
"645","KC Hodsoll (BMUDA)","2008-2008","1","1","1.0","0","8","0","-","-","8.00","-","0","0",""
"646","MEK Hussey (AUS)","2005-2012","38","1","1.0","0","5","0","-","-","5.00","-","0","0",""
"647","Jatinder Singh (OMAN)","2015-2016","11","1","2.0","0","17","0","-","-","8.50","-","0","0",""
"648","DPMD Jayawardene (SL)","2006-2014","55","1","1.0","0","8","0","-","-","8.00","-","0","0",""
"649","NG Jones (IRE)","2010-2012","5","2","2.0","0","14","0","-","-","7.00","-","0","0",""
"650","TP Kamungozi (ZIM)","2014-2014","1","1","2.0","0","17","0","-","-","8.50","-","0","0",""
"651","M Kartik (INDIA)","2007-2007","1","1","4.0","0","27","0","-","-","6.75","-","0","0",""
"652","JM Kemp (SA)","2005-2007","8","1","1.0","0","5","0","-","-","5.00","-","0","0",""
"653","GE Kidd (IRE)","2010-2010","1","1","3.0","0","32","0","-","-","10.66","-","0","0",""
"654","RJ Kirtley (ENG)","2007-2007","1","1","1.0","0","17","0","-","-","17.00","-","0","0",""
"655","GJP Kruger (SA)","2006-2006","1","1","4.0","0","29","0","-","-","7.25","-","0","0",""
"656","RDM Leverock (BMUDA)","2008-2008","2","2","5.0","0","27","0","-","-","5.40","-","0","0",""
"657","RN Lewis (WI)","2008-2008","1","1","1.0","0","9","0","-","-","9.00","-","0","0",""
"658","J Little (IRE)","2016-2017","2","2","7.4","0","56","0","-","-","7.30","-","0","0",""
"659","NM Lyon (AUS)","2016-2016","1","1","1.0","0","15","0","-","-","15.00","-","0","0",""
"660","S Matsikenyeri (ZIM)","2006-2012","10","3","2.4","0","23","0","-","-","8.62","-","0","0",""
"661","GJ McCarter (IRE)","2015-2015","3","2","5.0","0","50","0","-","-","10.00","-","0","0",""
"662","A Mehmood (HKG)","2016-2016","2","1","1.0","0","12","0","-","-","12.00","-","0","0",""
"663","Mehrab Hossain jnr (BDESH)","2008-2009","2","1","2.5","0","20","0","-","-","7.05","-","0","0",""
"664","KO Meth (ZIM)","2012-2012","2","2","7.0","0","64","0","-","-","9.14","-","0","0",""
"665","Mohammad Tauqir (UAE)","2015-2015","3","3","7.0","1","55","0","-","-","7.85","-","0","0",""
"666","JN Mohammed (WI)","2017-2017","5","1","1.0","0","5","0","-","-","5.00","-","0","0",""
"667","Mohammed Qasim (UAE)","2016-2017","3","1","1.0","0","8","0","-","-","8.00","-","0","0",""
"668","HJC Mol (NL)","2008-2008","4","1","1.3","0","12","0","-","-","8.00","-","0","0",""
"669","Mominul Haque (BDESH)","2012-2014","6","2","3.0","0","32","0","-","-","10.66","-","0","0",""
"670","Muhammed Shanil (UAE)","2016-2016","1","1","4.0","0","49","0","-","-","12.25","-","0","0",""
"671","Muktar Ali (BDESH)","2016-2016","1","1","2.0","0","17","0","-","-","8.50","-","0","0",""
"672","A Nao (PNG)","2017-2017","2","2","5.0","0","49","0","-","-","9.80","-","0","0",""
"673","Nasir Aziz (UAE)","2015-2015","1","1","4.0","0","21","0","-","-","5.25","-","0","0",""
"674","LN Oluoch (KENYA)","2013-2013","1","1","2.0","0","30","0","-","-","15.00","-","0","0",""
"675","AK Perera (SL)","2013-2014","2","1","1.0","0","17","0","-","-","17.00","-","0","0",""
"676","PDRL Perera (SL)","2006-2006","2","2","7.0","0","77","0","-","-","11.00","-","0","0",""
"677","OL Pitcher (BMUDA)","2008-2008","3","1","1.0","0","7","0","-","-","7.00","-","0","0",""
"678","KTGD Prasad (SL)","2011-2011","1","1","3.0","0","37","0","-","-","12.33","-","0","0",""
"679","EC Rainsford (ZIM)","2010-2010","2","2","6.0","0","67","0","-","-","11.16","-","0","0",""
"680","Robiul Islam (BDESH)","2013-2013","1","1","1.0","0","13","0","-","-","13.00","-","0","0",""
"681","Saad Nasim (PAK)","2014-2014","3","1","1.0","0","12","0","-","-","12.00","-","0","0",""
"682","Sajedul Islam (BDESH)","2013-2013","1","1","1.0","0","15","0","-","-","15.00","-","0","0",""
"683","Saqlain Sajib (BDESH)","2016-2016","1","1","3.3","0","40","0","-","-","11.42","-","0","0",""
"684","V Sehwag (INDIA)","2006-2012","19","1","1.0","0","20","0","-","-","20.00","-","0","0",""
"685","Shabbir Ahmed (PAK)","2007-2007","1","1","2.0","0","19","0","-","-","9.50","-","0","0",""
"686","T Shamsi (SA)","2017-2017","2","2","6.0","0","47","0","-","-","7.83","-","0","0",""
"687","GC Smith (SA)","2005-2011","33","3","4.0","0","57","0","-","-","14.25","-","0","0",""
"688","JN Snape (ENG)","2007-2007","1","1","1.0","0","12","0","-","-","12.00","-","0","0",""
"689","Sohaib Maqsood (PAK)","2013-2016","20","1","1.0","0","12","0","-","-","12.00","-","0","0",""
"690","CB Sole (SCOT)","2017-2017","1","1","4.0","0","22","0","-","-","5.50","-","0","0",""
"691","Soumya Sarkar (BDESH)","2015-2017","26","3","3.0","0","49","0","-","-","16.33","-","0","0",""
"692","B Stanlake (AUS)","2017-2017","1","1","3.0","0","42","0","-","-","14.00","-","0","0",""
"693","Suhrawadi Shuvo (BDESH)","2010-2010","1","1","1.0","0","12","0","-","-","12.00","-","0","0",""
"694","T Taibu (ZIM)","2007-2012","17","2","4.0","0","41","0","-","-","10.25","-","0","0",""
"695","RJ Trott (BMUDA)","2008-2008","3","2","6.3","0","42","0","-","-","6.46","-","0","0",""
"696","TE Tucker (BMUDA)","2008-2008","1","1","2.0","0","5","0","-","-","2.50","-","0","0",""
"697","S Tyagi (INDIA)","2009-2009","1","1","2.0","0","21","0","-","-","10.50","-","0","0",""
"698","JD Unadkat (INDIA)","2016-2016","1","1","4.0","0","43","0","-","-","10.75","-","0","0",""
"699","M Vijay (INDIA)","2010-2015","9","1","2.0","0","9","0","-","-","4.50","-","0","0",""
"700","MN Waller (ZIM)","2011-2016","28","1","1.0","0","4","0","-","-","4.00","-","0","0",""
"701","Waqas Barkat (HKG)","2014-2017","11","1","1.0","0","10","0","-","-","10.00","-","0","0",""
"702","Waqas Khan (HKG)","2014-2017","8","1","1.0","0","12","0","-","-","12.00","-","0","0",""
"703","JW Wilson (NZ)","2005-2005","1","1","4.0","0","43","0","-","-","10.75","-","0","0",""
"704","Yasir Shah (PAK)","2011-2011","2","2","4.0","0","39","0","-","-","9.75","-","0","0",""
"705","Abdul Shakoor (UAE)","2015-2015","4","-","-","-","-","-","-","-","-","-","-","-",""
"706","Adnan Ilyas (OMAN)","2015-2016","12","-","-","-","-","-","-","-","-","-","-","-",""
"707","Adnan Mufti (UAE)","2017-2017","1","-","-","-","-","-","-","-","-","-","-","-",""
"708","Afsar Zazai (AFG)","2013-2013","1","-","-","-","-","-","-","-","-","-","-","-",""
"709","RI Ahmed (NL)","2015-2015","2","-","-","-","-","-","-","-","-","-","-","-",""
"710","PS Airee (NEPAL)","2015-2015","7","-","-","-","-","-","-","-","-","-","-","-",""
"711","TR Ambrose (ENG)","2008-2008","1","-","-","-","-","-","-","-","-","-","-","-",""
"712","Amjad Ali (UAE)","2014-2015","5","-","-","-","-","-","-","-","-","-","-","-",""
"713","Amjad Gul (UAE)","2015-2016","4","-","-","-","-","-","-","-","-","-","-","-",""
"714","HM Amla (SA/World)","2009-2017","43","-","-","-","-","-","-","-","-","-","-","-",""
"715","Anamul Haque (BDESH)","2012-2015","13","-","-","-","-","-","-","-","-","-","-","-",""
"716","Anas Khan (HKG)","2014-2014","1","-","-","-","-","-","-","-","-","-","-","-",""
"717","Aqib Ilyas (OMAN)","2015-2017","9","-","-","-","-","-","-","-","-","-","-","-",""
"718","RP Arnold (SL)","2006-2006","1","-","-","-","-","-","-","-","-","-","-","-",""
