Player,BowlersRating
I Sharma,2
MV Boucher,1
Swapnil Singh,1
BR Dunk,1
BB Samantray,1
VS Malik,2
RS Gavaskar,1
AP Dole,5
TL Suman,1
KP Appanna,1
Sandeep Sharma,3
GJ Bailey,1
PJ Cummins,1
MA Khote,2
A Nehra,3
M Vohra,1
S Vidyut,1
DJ Hooda,1
PSP Handscomb,1
AN Ahmed,2
SK Trivedi,2
N Saini,1
A Kumble,3
CA Pujara,1
Shoaib Malik,1
S Dhawan,1
RS Sodhi,1
L Ablish,3
ER Dwivedi,1
GS Sandhu,1
MDKJ Perera,1
RE Levi,1
GC Smith,1
B Kumar,2
SB Joshi,1
DNT Zoysa,2
R Dravid,1
PA Patel,1
SV Samson,1
NV Ojha,1
BB Sran,3
CH Morris,2
T Kohli,1
S Kaushik,2
SS Mundhe,3
PP Ojha,3
VS Yeligati,1
Kamran Akmal,1
RV Uthappa,1
R Ninan,4
YV Takawale,1
LR Shukla,1
JW Hastings,3
SMSM Senanayake,2
DJ Bravo,3
MK Pandey,1
KW Richardson,4
SD Chitnis,1
RV Gomez,1
S Randiv,2
S Chanderpaul,1
VY Mahesh,3
TA Boult,2
B Lee,1
M Klinger,1
KMDN Kulasekara,1
K Santokie,4
D Salunkhe,1
P Kumar,2
A Mishra,2
GD McGrath,3
T Taibu,1
Harbhajan Singh,2
SS Shaikh,1
RJ Peterson,1
A Chopra,1
HH Gibbs,1
IK Pathan,2
H Das,1
STR Binny,1
JO Holder,2
S Badrinath,1
R Rampaul,2
SA Abbott,1
A Flintoff,2
SJ Srivastava,3
JE Taylor,3
J Yadav,1
Shakib Al Hasan,2
B Chipli,1
LJ Wright,1
AC Gilchrist,1
PA Reddy,1
DT Patil,1
BA Bhatt,2
TD Paine,1
D Wiese,3
KC Sangakkara,1
CRD Fernando,5
FH Edwards,3
T Henderson,2
R Sathish,1
NM Coulter-Nile,3
N Rana,1
SE Marsh,1
I Malhotra,1
DL Vettori,2
RN ten Doeschate,1
DB Das,1
KJ Abbott,1
KP Pietersen,1
S Tyagi,2
Gurkeerat Singh,1
M Morkel,2
JP Duminy,1
S Aravind,3
VH Zol,1
GB Hogg,2
RJ Quiney,1
Salman Butt,1
PV Tambe,3
JDP Oram,2
SM Pollock,3
A Mukund,1
DJ Thornely,2
J Arunkumar,1
AP Tare,1
KAJ Roach,1
S Sohal,1
AD Russell,3
DP Nannes,3
MJ Lumb,1
R Sharma,2
RJ Harris,3
Iqbal Abdulla,2
T Shamsi,2
SPD Smith,1
Mustafizur Rahman,3
L Balaji,3
JJ van der Wath,3
R Shukla,1
AA Jhunjhunwala,1
P Dogra,1
SP Fleming,1
CJ Anderson,1
A Mithun,2
BB McCullum,1
Pankaj Singh,1
S Narwal,2
AB Barath,1
KH Pandya,1
M Ntini,2
Sunny Gupta,1
SB Wagh,2
AM Nayar,1
PP Chawla,2
DJ Harris,1
SA Asnodkar,1
A Chandila,1
Mashrafe Mortaza,1
Shoaib Ahmed,2
JJ Bumrah,2
U Kaul,1
CR Brathwaite,2
Younis Khan,1
Abdur Razzak,1
B Geeves,2
Parvez Rasool,1
R Ashwin,2
J Syed Mohammad,2
SN Khan,1
AC Blizzard,1
AB Dinda,2
LRPL Taylor,1
Shahid Afridi,3
PC Valthaty,1
MN van Wyk,1
D du Preez,5
DA Warner,1
PR Shah,1
SW Tait,2
SB Jakati,2
UBT Chand,1
SP Goswami,1
Mandeep Singh,1
KK Nair,1
MC Henriques,2
S Badree,1
AS Rajpoot,1
JDS Neesham,1
J Theron,3
DS Kulkarni,3
VRV Singh,2
OA Shah,1
W Jaffer,1
AP Majumdar,1
MS Wade,1
YK Pathan,1
R Vinay Kumar,2
TM Head,1
BJ Haddin,1
BE Hendricks,4
BAW Mendis,2
UT Yadav,2
NJ Maddinson,1
MA Agarwal,1
Q de Kock,1
