Player,BowlersRating
JK Kamande,3.8
AR McBrine,2.2
Mohammad Asif,1
Mohammad Shahzad,2
M Muralitharan,3.8
TJ Murtagh,3.2
YK Pathan,2
RW Price,3
PR Stirling,1.6
Ahmed Raza,2.4
Arafat Sunny,1
JH Kallis,2
Karim Janat,0.8
MA Leask,2.8
AD Mascarenhas,2.6
J Mulder,1.2
JD Nel,1.4
SK Raina,1.4
Sompal Kami,1.2
RN ten Doeschate,1.2
J Theron,1
SO Tikolo,3
Zulfiqar Babar,1.2
Abdur Rehman,1
TL Chatara,1
DT Christian,2.4
Fareed Ahmad,1
Irfan Ahmed,1.2
NO Miller,1.2
JDS Neesham,2.6
CO Obuya,2
TM Odoyo,1.4
I Udana,2.4
MH Yardy,2.8
Anwar Ali,2
L Balaji,0.6
PVD Chameera,2.6
TS Chisoro,1.4
PC Connell,1.4
XJ Doherty,1
MR Gillespie,1
RM Hira,2.2
JR Hopes,2.6
KM Jarvis,0.8
JF Mooney,2
PP Ojha,1.4
H Osinde,1.2
AL Phehlukwayo,0.8
S Prasanna,2
Raza Hasan,1.4
KAJ Roach,1
BA Stokes,1.6
Taskin Ahmed,2.2
DT Tiripano,1
R Vinay Kumar,1
CA Young,2
Zeeshan Maqsood,2.4
DE Bollinger,1.2
TM Dilshan,1
Elias Sunny,1.2
BW Hilfenhaus,1.4
RK Kleinveldt,0.8
Mehran Khan,2.8
AR Patel,1.2
Rizwan Cheema,2.2
JRMVB Sanjaya,0.8
Sikandar Raza,1.8
I Wardlaw,0.6
Aizaz Cheema,0.6
M Ansari,0.8
U Bhatti,1.2
CJ Boyce,1.2
SS Cottrell,0.8
CD de Lange,1.4
Fawad Alam,1
SP Gauchan,1.4
Gulbadin Naib,1
JR Hazlewood,0.6
BE Hendricks,0.6
Junaid Khan,0.8
Junaid Siddiqui,1.4
Khawar Ali,2.4
P Kumar,1
WK McCallan,1.2
N Madziva,0.8
WP Masakadza,1
Mohammad Ashraful,1.4
Mohammed Shami,NA
Shafiul Islam,2.2
I Sharma,2
TAM Siriwardana,1.6
A Symonds,2
JJ van der Wath,1
Aftab Alam,0.8
A Dananjaya,0.6
M de Lange,0.6
G Goudie,0.8
AS Hansra,0.6
JW Hastings,1
MJ Henry,0.8
GB Hogg,1.8
JO Holder,0.8
LM Jongwe,0.6
S Randiv,1.2
TE Kane,0.6
RAS Lakmal,0.6
AV Lalcheta,2
MF Maharoof,1
CS Martin,0.8
Nasir Hossain,1.2
SR Patel,1.8
D Paterson,0.6
Sayed Shirzad,0.6
DR Smith,1.2
S Sreesanth,0.8
T Thushara,1
JC Tredwell,1.8
A Vala,0.6
CR Woakes,0.6
WD Balaji Rao,0.6
TL Best,1
D Bishoo,0.6
JAR Blain,1.4
NM Carter,1.2
MJ Clarke,1.2
TK Curran,0.6
S Dhaniram,1.4
Ehsan Khan,0.6
Faheem Ashraf,0.6
Farhad Reza,1.4
Izatullah Dawlatzai,0.6
Kuldeep Yadav,0.6
BMAJ Mendis,1.4
JM Muirhead,0.6
T Muzarabani,0.6
L Ngidi,0.6
M Ntini,0.6
IE O'Brien,0.6
SNJ O'Keefe,0.6
E Otieno,1.4
Qadeer Ahmed,1
JB Reva,0.6
Rokhan Barakzai,0.6
JE Root,1
Sabbir Rahman,1
Sagar Pun,1.4
PADLR Sandakan,0.6
E Schiferli,1.2
MD Shanaka,1.4
MM Sharma,1
LMP Simmons,0.6
BB Sran,0.6
SR Thompson,1.4
AJ Tye,0.6
WPUJC Vaas,1.4
KS Williamson,0.6
Aamir Kaleem,0.6
CJA Amini,0.6
Anshuman Rath,1.4
Bilawal Bhatti,0.6
DR Briggs,0.6
KJ Coetzer,0.6
A Flintoff,1.2
WT Gavera,0.6
DAS Gunaratne,1
AM Guruge,0.6
Imran Haider,0.6
MS Kasprowicz,0.6
GD McGrath,0.6
MW Machan,2
Naved-ul-Hasan,0.6
RJ Nicol,1.4
GH O'Brien,0.6
NM Odhiambo,0.6
PJ Ongondo,1.2
SS Pathirana,0.6
Sohail Khan,0.6
RML Taylor,1
RJW Topley,0.6
LV van Beek,0.6
BTJ Wheal,0.6
BM Wheeler,0.6
MA Wood,0.6
Yamin Ahmadzai,0.6
DI Allan,0.6
NJ Astle,0.6
HMCM Bandara,0.6
MD Bates,0.6
JP Behrendorff,0.6
GB Brent,0.6
PP Chawla,1.2
MD Dai,1.4
JM Davison,0.6
LA Dawson,0.6
RJ Harris,0.6
MC Henriques,0.6
Joginder Sharma,0.6
MBS Jonkman,0.6
Karan KC,0.6
V Kohli,1
GA Lamb,0.6
E Leie,0.6
J Lewis,0.6
ML Lewis,0.6
CJ McKay,1
MR Marsh,0.6
SW Masakadza,0.6
GE Mathurin,0.6
BJ McCarthy,0.6
Mohammad Kashif,0.6
Mohammad Nadeem,0.6
Mohammad Nawaz,1
PL Mommsen,1.2
JK Mukhiya,0.6
N M'shangwe,0.6
Nawroz Mangal,0.6
JO Ngoche,1.4
Nizakat Khan,1
AA Noffke,0.6
LN Onyango,0.6
MM Patel,0.6
VD Philander,0.6
Rumman Raees,0.6
CP Schofield,0.6
Shahadat Hossain,0.6
Sohag Gazi,0.8
CA Soper,0.6
AO Suji,0.6
Syed Rasel,1.2
JDF Vandersay,1
BV Vitori,1
K Weeraratne,0.6
CM Wright,0.6
Abu Hider,0.6
AR Adams,0.6
AB Agarkar,0.6
MS Aulakh,0.6
F Behardien,0.6
SM Boland,0.6
CG Burnett,0.6
MS Chapman,0.6
TLW Cooper,0.6
BCJ Cutting,NA
C de Grandhomme,0.6
RMS Eranga,0.6
